window,miu,be,sig,a,p,LogL
31,0.400064478,0.960154733,0.149857897,0.298862475,5.510069443,-9195.672955
32,0.418946568,0.954119685,0.193095782,0.293521688,5.563166216,-9195.517032
33,0.412169584,0.959992182,0.175283509,0.299997995,5.517622257,-9203.989705
34,0.43848916,0.95996992,0.17412288,0.299992287,5.542998338,-9198.762021
35,0.387411806,0.958107177,0.174181623,0.288052832,5.500891545,-9191.241346
36,0.408359851,0.958777739,0.150030356,0.302955185,5.499572423,-9200.676636
37,0.423008843,0.959962867,0.149997144,0.299990479,5.499914309,-9202.631366
38,0.400190079,0.960042023,0.15187611,0.300153022,5.500399807,-9190.957417
39,0.415490391,0.959992655,0.149999435,0.308989898,5.503447137,-9203.300944
40,0.400623637,0.959998968,0.150175762,0.300265281,5.499999146,-9198.202256
41,0.313079266,0.961678963,0.152475802,0.305201379,5.513020523,-9205.541314
42,0.402968678,0.960385871,0.170786481,0.300358684,5.499715483,-9199.414612
43,0.521366228,0.960004818,0.149975912,0.299919706,5.610200441,-9209.107908
44,0.395988195,0.959668924,0.14995212,0.29980449,5.499911411,-9200.417361
45,0.38044383,0.959981206,0.149998554,0.299995181,5.499956629,-9192.130692
46,0.523843101,0.959700168,0.184617142,0.29992312,5.49930808,-9197.465401
47,0.383456233,0.957186744,0.156946265,0.28885873,5.529829885,-9189.063957
48,0.399003266,0.960382415,0.150290348,0.300199625,5.503919201,-9200.917363
49,0.343378464,0.96044478,0.149996376,0.299927429,5.513892588,-9198.103051
50,0.402014954,0.959860115,0.151058872,0.301031867,5.499301704,-9205.369006
51,0.354828085,0.960013469,0.163241844,0.299995452,5.567857888,-9204.4178
52,0.495461404,0.956478446,0.153039419,0.302599241,5.500245679,-9202.418364
53,0.400123555,0.959987735,0.150296855,0.300099141,5.500233714,-9199.37589
54,0.428358548,0.949089994,0.155566188,0.300555886,5.508736476,-9192.963928
55,0.435030122,0.959204211,0.149656582,0.300022297,5.499808715,-9195.539661
56,0.393836169,0.95731719,0.145343113,0.300304399,5.506399622,-9204.692231
57,0.382413359,0.957830923,0.15146751,0.297116586,5.506019891,-9202.61282
58,0.39462738,0.959998682,0.167617084,0.300001215,5.499922695,-9200.717201
59,0.414621928,0.959974998,0.18500512,0.301621211,5.500313462,-9199.787221
60,0.392606245,0.958967985,0.14584733,0.293423669,5.513557234,-9201.971865
61,0.393345748,0.959978186,0.150183564,0.300151889,5.504122476,-9201.406983
62,0.374767958,0.96020461,0.171750142,0.300630769,5.500093522,-9199.7479
63,0.31103272,0.95995713,0.149996702,0.299989008,5.49990107,-9208.828787
64,0.372650688,0.955348538,0.151781573,0.297513405,5.501277838,-9200.147309
