window,miu,be,sig,a,LogL
43,0.215533581,0.899835922,0.299973956,0.499887142,-9305.109191
44,0.408664204,0.894279565,0.361099633,0.511122542,-9296.250831
45,0.425876284,0.900000753,0.29999749,0.499989124,-9296.772404
46,0.335771849,0.899806858,0.299831448,0.499745579,-9302.61049
47,0.400266157,0.89824371,0.305218602,0.499279888,-9309.832847
48,0.37763781,0.899991664,0.322343289,0.506010751,-9304.669745
49,0.312396613,0.899990602,0.337409777,0.501129268,-9304.102713
50,0.501112562,0.900001088,0.314513242,0.499984283,-9302.229804
51,0.395844609,0.899945172,0.309120135,0.504778308,-9305.035762
52,0.371394406,0.883109659,0.332630205,0.498220005,-9290.562518
53,0.39753794,0.899810395,0.299959325,0.499913935,-9294.40002
54,0.543679546,0.900001238,0.309076019,0.499982113,-9302.921742
55,0.348677799,0.899908635,0.299983078,0.499936861,-9307.468625
56,0.398881564,0.900050591,0.301810604,0.500006022,-9315.391035
57,0.445446045,0.869503999,0.295248511,0.505071742,-9313.987601
58,0.338623816,0.899045088,0.355286845,0.500068612,-9318.719862
59,0.392563251,0.899954292,0.299996182,0.499981609,-9305.721706
60,0.403046655,0.899998493,0.303969909,0.503509851,-9307.680477
61,0.411392892,0.900041675,0.300071875,0.507386147,-9314.285505
62,0.471273869,0.906785301,0.295956045,0.502902524,-9305.797693
63,0.409934283,0.899949531,0.299991989,0.499965286,-9304.353737
64,0.196897423,0.898446583,0.300016432,0.500966833,-9335.713133
65,0.4300745,0.899994166,0.337926935,0.499995987,-9298.174691
66,0.418312537,0.893449744,0.304733469,0.504635526,-9307.689693
67,0.393816814,0.899998943,0.301546644,0.503208277,-9300.8267
68,0.395100089,0.900023302,0.303319435,0.505975128,-9323.691461
69,0.533773696,0.900006547,0.299978178,0.499905439,-9314.738393
70,0.405991005,0.899812835,0.300183255,0.500010351,-9300.999081
71,0.418080599,0.88567724,0.352194015,0.458437261,-9272.947836
72,0.39904229,0.900162351,0.300570547,0.502922174,-9311.249333
73,0.437702184,0.89646712,0.327678139,0.513143916,-9306.320393
74,0.39543868,0.90000577,0.303121327,0.504298239,-9311.834686
75,0.399647161,0.904902912,0.300037891,0.489468174,-9298.682053
76,0.404720609,0.899997773,0.315296242,0.510206593,-9292.133782
77,0.444681893,0.901652638,0.29769768,0.498690536,-9305.034935
78,0.397225591,0.89848197,0.318587838,0.507111764,-9313.159292
79,0.436945105,0.906187969,0.299368638,0.495171959,-9308.663783
80,0.430376141,0.900129259,0.300057184,0.509951254,-9314.085051
81,0.516956191,0.919523269,0.290099444,0.503042323,-9325.663618
82,0.412494131,0.89899185,0.302546796,0.500744371,-9307.940758
83,0.398305649,0.899434261,0.30064223,0.501226318,-9313.651685
84,0.415688328,0.899994279,0.308525639,0.51773007,-9302.884455
85,0.422940943,0.901131095,0.30118792,0.500808911,-9301.58288
86,0.414085971,0.900402984,0.349670523,0.502286326,-9314.522309
87,0.439898323,0.900637486,0.32333003,0.499955835,-9312.182139
88,0.430736162,0.899981475,0.316889485,0.499987258,-9309.510169
89,0.386472104,0.902543466,0.320558203,0.501919428,-9303.592562
90,0.424958872,0.900023584,0.356670294,0.500004806,-9303.624704
91,0.494212408,0.897675144,0.320146528,0.504080256,-9289.56789
92,0.401710422,0.89983297,0.299874418,0.500146608,-9314.377161
93,0.325679119,0.874114361,0.298501922,0.50486935,-9312.785357
94,0.390415861,0.900036969,0.323270817,0.500455031,-9301.181366
95,0.513642366,0.900003781,0.299987395,0.49994538,-9310.172692
96,0.39500699,0.899997225,0.302415417,0.506718024,-9295.233236
97,0.308918675,0.899979242,0.299996705,0.499985722,-9313.917061
98,0.430613542,0.899979602,0.299997424,0.499984595,-9293.459243
99,0.408911318,0.897136327,0.31517046,0.500799064,-9293.2917
