window,miu,be,sig,a,q,LogL
125,0.178088381,0.907870882,0.326243723,1.421689653,2.086341875,-9267.600696
126,0.195874798,0.847246499,0.33344839,1.429540193,2.118590205,-9256.558315
127,0.877055585,0.933656671,0.222786719,1.365452037,2.482857929,-9249.524591
128,-0.043525607,0.900000544,0.241580521,1.547440923,1.899856713,-9302.101362
129,0.088084585,0.874766429,0.323904501,1.657256455,1.940741398,-9268.914543
130,0.116097686,0.859613845,0.327247017,1.640993857,1.85868417,-9261.264418
131,-0.018334046,0.899856469,0.321651006,1.579033433,2.096701562,-9281.715405
132,-0.219867333,0.90070695,0.318456948,1.468115873,1.974581259,-9353.806177
133,-0.068177889,0.960278918,0.264568116,1.41130665,1.938954389,-9294.051861
134,0.139299869,0.899895137,0.211032932,1.588603125,1.915789828,-9264.280757
135,-0.00261553,0.879831341,0.378241945,1.527836702,2.016154326,-9298.449141
136,-0.057010772,0.900002925,0.317572529,1.399952015,1.899935137,-9341.239113
137,-0.138087538,0.906668475,0.358142252,1.53139556,1.898575098,-9323.919545
138,0.43993644,0.929906895,0.217518603,1.512027369,2.177888001,-9194.417938
139,0.010108472,0.887526956,0.318254895,1.529358154,2.095404093,-9266.490912
140,0.283114054,0.902974033,0.238912044,1.563183606,1.973570241,-9207.792976
141,0.037647581,0.867752357,0.329018119,1.533533135,1.969136663,-9271.493342
142,0.216154437,0.896459769,0.194570128,1.597564711,2.015743374,-9267.690416
143,0.304109302,0.935361931,0.194777654,1.431682742,1.914405965,-9198.421615
144,-0.008028492,0.903510458,0.247407767,1.397535519,1.894916348,-9317.697046
145,0.124269242,0.899916651,0.403484012,1.585837255,2.049799634,-9298.424804
146,0.217569768,0.899692364,0.323284513,1.410413414,1.875202913,-9274.271683
147,-0.01869541,0.90010901,0.271391386,1.400087267,1.900036107,-9320.002682
148,0.198093056,0.894483209,0.283526598,1.551671944,1.726447457,-9224.480861
149,-0.070949882,0.964792499,0.192873695,1.655939905,1.961256674,-9285.692156
150,0.064087275,0.952306003,0.313682271,1.554889086,1.892315622,-9286.327333
151,-0.131113638,0.899960479,0.375592977,1.515535566,1.96762964,-9324.92457
152,0.131136891,0.900079046,0.294384723,1.456138288,1.965894915,-9241.724924
153,-0.014061244,0.921586227,0.244906686,1.398346059,1.90332183,-9288.887919
154,0.206754004,0.971747314,0.192807996,1.471982906,1.8953128,-9220.176712
155,0.263387063,0.899971013,0.316675539,1.636111053,1.89988425,-9238.594892
156,0.360275096,0.899411891,0.197690563,1.470944914,1.90332191,-9201.937788
157,0.072133551,0.951120609,0.283207047,1.345640245,1.991756817,-9309.804216
158,0.013416318,0.971141768,0.186736281,1.564072591,1.860125334,-9232.935431
159,0.080004177,0.900023959,0.307805618,1.399626589,1.899493651,-9292.400587
160,-0.087564853,0.983830274,0.197714343,1.493497649,1.751619784,-9254.070627
161,-0.086352088,0.900004734,0.294167315,1.501462001,2.11812959,-9287.843524
162,0.303356909,0.932879104,0.218304989,1.533049439,1.868058436,-9196.288841
163,0.307000239,0.94384063,0.203047442,1.352257161,3.682031041,-9194.997193
164,0.649757347,0.900091707,0.199661866,1.398009275,1.897230946,-9221.651118
165,0.093561577,0.924277114,0.191290967,1.327472421,1.877482567,-9315.000648
166,0.142353749,0.920025367,0.217978568,1.712827315,1.88000028,-9284.149051
167,-0.06372334,0.900001905,0.255142898,1.399970373,1.899959792,-9335.263272
168,0.547537904,0.73309946,0.457453236,1.57705567,1.975196522,-9252.670158
169,-0.061697602,0.96608947,0.217493678,1.499906508,1.930222623,-9241.091819
170,0.42347254,0.942050566,0.182140099,1.455229151,2.318924901,-9180.761975
171,0.050604651,0.903702042,0.248023088,1.423351359,1.974665527,-9267.265662
