Index,ObsDur,TSCD,fTaR_0.5,fTaR_0.25,fTaR_0.1,fTaR_0.05,fTaR_0.025,fTaR_0.01
2627,0.591816952,1.490670377,1.043389226,1.950816498,3.135829589,4.015716913,4.880902087,6.003254725
2628,2.606084719,1.293646865,0.79310133,1.573794568,2.684524337,3.547958779,4.416964257,5.564552254
2629,0.284902077,1.773636802,1.172869278,2.33372654,3.858473177,4.983449491,6.081460981,7.494470334
2630,0.5922192,1.449488336,1.138227976,2.056730731,3.21730344,4.064880319,4.891263209,5.95647735
2631,0.887506616,1.402798531,0.984506565,1.891826079,3.129543351,4.068986601,5.002213731,6.221503699
2632,1.020567311,1.340266248,0.98101257,1.857260888,3.023174965,3.895666977,4.75609647,5.873635531
2633,1.265896316,1.46193763,1.023056395,1.96762469,3.241757103,4.20361058,5.15724496,6.402122386
2634,0.845608998,1.424886385,1.239264441,2.197058407,3.390398216,4.256058407,5.09732981,6.178967324
2635,0.975743785,1.423701013,1.088720272,2.040127119,3.308927055,4.265310351,5.214771915,6.457337485
2636,0.44170281,1.464578366,1.074940406,2.073462734,3.384437428,4.360332478,5.321421457,6.570228318
2637,1.667740012,1.303266513,1.09710825,2.03556787,3.231018815,4.107242182,4.963248594,6.068248165
2638,1.457668875,1.540246091,0.968485452,1.975052929,3.399158771,4.511571112,5.640096928,7.146146367
2639,0.420652036,1.554808469,1.175285585,2.282910137,3.814544974,4.991427954,6.171387796,7.727405194
2640,1.22579385,1.362809316,0.946943332,1.777067295,2.886580802,3.721313089,4.547761254,5.625728667
2641,0.294784222,1.454621523,0.996500946,1.849056697,2.953532806,3.770317725,4.571790124,5.609807956
2642,2.9281006,1.241271717,0.935973424,1.715530593,2.788433746,3.616844264,4.451406073,5.558286187
2643,2.687928814,1.538076608,1.326755927,2.57211702,4.200097482,5.393375328,6.551408768,8.031729598
2644,2.171214172,1.796681568,1.299115382,2.587713471,4.419228245,5.840741069,7.26972716,9.154242186
2645,0.919515448,1.635887804,1.33607413,2.483221222,3.953727337,5.033715554,6.088937725,7.45078645
2646,0.120405725,2.021311801,1.101967738,2.12541146,3.507521528,4.551222093,5.586043831,6.936831873
2647,0.264783576,1.503031258,0.985464273,1.878773024,3.071198402,3.966365781,4.851460611,6.004367407
2648,0.420423369,1.404934404,0.971460403,1.968472498,3.367564778,4.444807004,5.52348017,6.942008573
2649,0.442487987,1.480667353,1.000577255,1.949270897,3.250907599,4.242843186,5.2311639,6.526274572
2650,0.16503938,1.48680817,0.777180863,1.541481022,2.617012439,3.447517781,4.280376293,5.377070147
2651,0.832252052,1.331128758,0.921187861,1.768924864,2.911479708,3.773615606,4.628038847,5.74309361
2652,1.758917424,0.840586785,0.631166705,1.223093927,2.029110221,2.640584703,3.248312844,4.043025182
2653,0.498933309,1.266988019,0.953838169,1.824781702,2.996479463,3.880005136,4.755532373,5.897981357
2654,0.838149244,1.134614235,0.861738683,1.646916514,2.673241401,3.435513927,4.185190757,5.158162498
2655,1.003139167,1.278180001,0.852688835,1.586607833,2.530774129,3.225723877,3.905721855,4.784222869
2656,1.157616084,1.226414687,0.881973456,1.68707564,2.774281374,3.594721719,4.407513882,5.467127687
2657,0.180988977,1.385563513,0.950523763,1.824313587,3.003208131,3.893363501,4.775980523,5.928335384
2658,0.90883361,1.194236622,0.691166742,1.376534112,2.345904873,3.093451373,3.841015645,4.821444102
2659,0.561168988,1.227887797,0.907160394,1.86741571,3.215015865,4.252254477,5.2906968,6.657071242
2660,1.116147346,1.175179979,0.786509154,1.499362628,2.451418039,3.16570366,3.871298929,4.789403222
2661,1.286007609,1.172981746,0.908969391,1.727476141,2.829778813,3.658669593,4.477317763,5.540974389
2662,0.198285688,1.320128318,1.059161695,1.940023043,3.076734791,3.911350023,4.724988169,5.771064506
2663,1.925486294,1.151343267,0.75839801,1.565382132,2.742148023,3.672374579,4.619330596,5.883460677
2664,0.964955989,1.497518258,0.986493899,1.887650575,3.095425481,4.004086197,4.903511516,6.07606531
2665,4.346705636,1.564819735,1.052120721,2.163774614,3.760690153,5.000880562,6.244916503,7.880677308
2666,4.265985045,2.122860472,1.07763739,2.071941823,3.413110661,4.425561945,5.429341824,6.739675886
2667,4.016470951,2.112310245,2.440899803,4.346676647,6.739319814,8.481651297,10.17831736,12.36300962
2668,1.028113539,2.20669944,1.587312418,2.973309781,4.83249489,6.233367918,7.620915668,9.430500404
2669,3.538104168,2.357503983,1.175069742,2.27912346,3.784192729,4.926684094,6.062474637,7.548050439
2670,1.707221829,2.274662362,1.524637967,2.961812688,4.92331027,6.407121868,7.876487242,9.789163151
2671,2.786976735,2.454481946,1.536367125,2.866697903,4.62010043,5.935961946,7.240915928,8.948710884
2672,2.372788466,2.261121501,1.210735356,2.334685001,3.855512086,5.005495836,6.146601272,7.637017246
2673,0.297871799,2.516082187,1.188506579,2.284162681,3.761567836,4.876238135,5.980817445,7.421902496
2674,2.577679476,1.899769244,1.497800677,2.754780091,4.370882373,5.561285178,6.726818778,8.233780843
2675,0.201663704,2.06075489,1.434383077,2.680718873,4.327906701,5.558483085,6.77182591,8.348762092
2676,0.122350687,1.901483938,1.220987607,2.315507703,3.775782574,4.869702928,5.94883002,7.350788458
2677,0.273207916,1.612162046,0.982902639,1.879700221,3.092674204,4.007523876,4.912557802,6.090539416
2678,0.702563995,1.701271128,0.819546066,1.599931904,2.656691565,3.456447763,4.25067206,5.287403672
2679,2.118552997,1.0489559,0.861531736,1.796116366,3.128950761,4.167584182,5.216682904,6.608605808
2680,1.770344693,1.541558308,1.080739049,2.108572975,3.508627547,4.575165557,5.639853074,7.039479372
2681,3.39818833,1.708744969,1.027111172,1.998277207,3.310640857,4.299055327,5.276112077,6.547192804
2682,2.395446983,1.899113719,1.194520378,2.271997322,3.707539087,4.784218096,5.848319511,7.233956479
2683,1.498306824,1.971979887,1.374524657,2.524150811,4.004966964,5.093516906,6.156457441,7.526066712
2684,1.08499411,2.202098609,1.668047037,3.014300615,4.716993966,5.96064352,7.173136979,8.735571734
2685,0.517871858,1.760562053,1.593079383,3.038966502,4.969700881,6.419776454,7.853748848,9.721752623
2686,0.540897885,1.676384237,1.300492421,2.493058801,4.10199624,5.317725668,6.524024142,8.100116563
2687,2.224719793,1.480650607,1.08445448,2.0700564,3.397854068,4.398679016,5.389575622,6.680778282
2688,0.224724043,1.849814665,1.118177828,2.139224649,3.511558701,4.545678125,5.569930029,6.905809424
2689,1.923491609,1.344957834,1.027335962,1.976424714,3.257968332,4.225776843,5.185472351,6.438275139
2690,0.962036187,1.688028316,1.188972758,2.314749695,3.863986729,5.045574697,6.2229905,7.765293714
2691,3.2898637,1.595981435,0.990709142,2.140994587,3.801637007,5.106585656,6.432669324,8.202667996
2692,1.441047395,1.767287852,1.288153861,2.34640216,3.695311257,4.682965838,5.646392298,6.887436291
2693,0.987057145,1.884647803,1.147285808,2.217192819,3.663983678,4.757064714,5.84103899,7.255870161
2694,0.473760353,1.660163178,1.072036691,2.053772973,3.371997891,4.364819825,5.347944608,6.630152728
2695,1.123239773,1.583934707,1.157541331,2.17276877,3.504209416,4.494926407,5.47011804,6.736050842
2696,0.672451048,1.683189145,1.048267183,2.002376791,3.28734507,4.257053609,5.218464171,6.473375215
2697,0.11110753,1.493070527,1.098665466,2.088435294,3.406613258,4.393883416,5.368039584,6.63414471
2698,0.242874109,1.209080729,0.855155218,1.768487648,3.054899842,4.049358399,5.048911928,6.369163366
2699,0.136670168,1.036681735,0.817532857,1.628363534,2.77855043,3.673965706,4.577893713,5.776160403
2700,0.152000808,1.111835669,0.900308412,1.738550915,2.874844588,3.734700849,4.588138295,5.703144372
2701,0.625394299,0.665290691,0.543930499,1.007147786,1.605068789,2.047028075,2.480869423,3.043292691
2702,0.794244374,0.920331487,0.52264938,0.930606805,1.452265139,1.835988247,2.211644777,2.697335008
2703,0.95964867,1.234460239,0.599602228,1.031898675,1.562578345,1.944857696,2.315136187,2.789971274
2704,2.473534701,1.166042804,0.61632958,1.278800473,2.310325481,3.156270312,4.031785264,5.213454625
2705,4.642157698,1.433842541,0.973817694,1.89352544,3.15215741,4.110177148,5.064349711,6.314649264
2706,2.239762514,1.80242419,1.744978877,3.184594101,5.020724124,6.367934464,7.684503373,9.38435259
2707,1.774640557,1.667430129,1.171992646,2.4363649,4.298605134,5.771272989,7.266387219,9.253296844
2708,1.984777125,1.596831368,1.381224668,2.71366977,4.537461128,5.924089776,7.303956621,9.110110579
2709,2.04701318,1.768308112,1.722777549,3.244653182,5.288083799,6.824233959,8.341661362,10.31453837
2710,0.142289311,1.949313018,1.917154043,3.610238549,5.838646167,7.499634673,9.135983584,11.26172548
2711,1.53956259,1.702440755,0.904258808,1.781869284,3.023112126,3.982459559,4.943811983,6.207561526
2712,0.577382258,1.791211093,1.055848748,2.057550669,3.438584283,4.499604615,5.564465731,6.971092126
2713,4.932120377,1.64236326,0.931392639,1.882341655,3.244399969,4.305228625,5.373243796,6.783374759
2714,4.754104385,2.624052547,1.238594154,2.362804509,3.874994688,5.01428595,6.142257184,7.612454178
2715,0.760180875,2.850652797,1.177515665,2.261992723,3.719962766,4.819082516,5.908571583,7.330527619
2716,1.490274244,2.161506607,1.435609787,2.731600782,4.444209751,5.728264091,6.999766528,8.660746917
2717,2.480645274,2.173528883,1.381062915,2.862336662,5.021726603,6.732747044,8.479597115,10.82016659
2718,0.494076668,2.446828532,1.730715709,3.434368246,5.832856535,7.685599392,9.544173377,11.99143111
2719,0.391953029,1.962908842,1.281384226,2.554512366,4.302619748,5.636209495,6.966601343,8.71332401
2720,0.412526514,1.718527654,1.080595772,2.055177905,3.34746906,4.312965825,5.26419774,6.499375665
2721,1.489634012,1.472565516,1.056324164,2.115219117,3.624456597,4.793669763,5.96567331,7.506028975
2722,2.596553735,1.584608219,1.105584056,1.949980712,3.027172349,3.82038343,4.598148326,5.60574452
2723,2.60702522,1.74090784,1.184125668,2.433017905,4.317654809,5.834468841,7.390148272,9.474989698
2724,0.758484688,2.100132837,1.695273876,3.196618465,5.204839434,6.713463343,8.204290752,10.14613442
2725,3.792447351,1.725935635,1.329995833,2.582893118,4.293279319,5.595926493,6.895046256,8.600378252
2726,0.256341558,2.138216747,1.389359011,2.857492431,4.993901382,6.700639279,8.45973864,10.84325739
2727,4.733622024,1.75545155,1.258796284,2.385946127,3.8737088,4.991882825,6.102366438,7.558094306
2728,2.581840244,2.060319891,2.135364299,3.947136988,6.285702247,8.012067244,9.70448262,11.89470602
2729,0.127258431,2.388389944,1.604643809,2.956471659,4.695558044,5.978051742,7.235391924,8.863243649
2730,4.687979956,1.853570383,1.058990948,2.08311427,3.517464305,4.622209188,5.728505498,7.183441235
2731,4.739055553,2.353133262,1.50516662,2.877324083,4.707993942,6.084509364,7.447779203,9.22732282
2732,2.762281634,3.0095847,1.326888508,2.552213434,4.205053664,5.452970378,6.690123148,8.305108068
2733,2.232620658,2.443464102,1.745354507,3.465088724,5.903744777,7.806361898,9.73156717,12.29108938
2734,1.279243105,2.198249686,1.567489755,3.285524019,5.867524071,7.949277122,10.09407044,12.9868043
2735,0.106856608,2.248772954,1.467447994,2.761417614,4.499822103,5.809589975,7.106176457,8.796056362
2736,0.122670837,1.9472282,1.061348694,2.069924198,3.455119468,4.510767867,5.562358112,6.939979075
2737,2.454444442,1.912777178,0.817712847,1.599877309,2.692129051,3.542622874,4.405235042,5.557113071
2738,1.597124286,1.881710832,1.029557732,2.132813464,3.701260682,4.914073107,6.129754556,7.728852337
2739,5.145836819,1.888715918,1.149938513,2.163024126,3.536502201,4.5857846,5.637309913,7.025927588
2740,4.3251045,2.090498985,1.669143916,3.00128379,4.708427098,5.96134327,7.184117907,8.759343747
2741,0.840301309,3.188921262,2.641652587,4.510690724,6.680615698,8.178682793,9.588174906,11.34664265
2742,1.954706722,2.115550722,1.278121791,2.582991022,4.308720258,5.575224062,6.802954084,8.369255455
2743,2.021087162,2.224950836,1.307366839,2.644933428,4.589746754,6.114228826,7.65259814,9.684727885
2744,0.446738247,2.593859183,1.175554698,2.256396974,3.711711508,4.809202194,5.89648402,7.314766276
2745,2.195721191,1.962647168,1.295161281,2.447639369,3.996561243,5.164845212,6.322903852,7.83452581
2746,2.735951663,2.263583365,1.410487985,2.594687995,4.124263434,5.25492034,6.364908761,7.803599805
2747,0.794325579,2.210381694,1.824345342,3.539271198,5.870347569,7.623984097,9.351964275,11.5898519
2748,3.831329392,2.002610961,1.529369307,3.015491849,5.089624039,6.684069168,8.279517608,10.37621586
2749,1.297160226,2.525939629,1.749873194,3.505024329,6.014625613,7.969761525,9.93925053,12.54155182
2750,0.8932323,1.940716799,1.63196889,3.022896559,4.907874138,6.339892562,7.765690718,9.6337666
2751,1.881758099,1.828798916,1.365711678,2.697788595,4.497187118,5.851129126,7.188723426,8.928060891
2752,0.285314922,1.896953031,1.304168467,2.437955199,3.90868954,4.997818897,6.06768319,7.455039727
2753,0.237089491,1.693330849,1.341284021,2.558666534,4.124232857,5.274126505,6.39732804,7.845874623
