forc.use,Wei,GG,Burr,GB2,EGIG,TSCD,r
1.143103321,2.324749409,1.97614288,1.472556765,1.502760718,1.487373925,1.510513876,1.001908911
1.098263733,2.166031357,1.907566576,1.791375207,1.489881074,1.469972706,1.536901428,1.002201282
0.758011253,1.986518238,1.844926559,1.441058424,1.510283501,1.460399379,1.462147627,1.002201282
0.780595021,1.919275769,1.868774642,1.690225982,1.639394559,1.682281413,1.630059631,1.002201282
0.440520133,2.268621957,1.920747171,1.526686522,1.415472017,1.358778637,1.439742855,1.002201282
0.486593117,2.109604199,1.851157479,1.408592044,1.391624134,1.401881717,1.374643076,1.001908911
2.511273752,2.213890002,1.67304339,1.417034263,1.377564559,1.33703511,1.38915063,1.001908911
1.533984515,2.251673178,1.914617289,1.678057389,1.447173295,1.50876228,1.49698465,1.001402466
0.435232535,2.36838661,1.924102628,1.41651421,1.725576545,1.747641147,1.690998004,1.001908911
1.254119802,2.083521726,1.911843335,1.421873371,1.553573257,1.570746596,1.509850892,1.001532627
0.465355584,2.256753343,1.803281234,1.780240189,1.555465988,1.5000663,1.527040734,1.001908911
0.508768887,1.942004589,1.948531591,1.690142459,1.38544279,1.410849636,1.368645451,1.001908911
0.54877688,1.952713811,1.936045308,1.380582699,1.402208439,1.355167436,1.409772482,1.001908911
0.585823507,1.963943999,1.867857354,1.382835721,1.336025834,1.327648337,1.342094285,1.002358989
0.62029287,1.962183911,1.826646503,1.449400823,1.26338449,1.227333584,1.332756987,1.003031118
0.652512249,1.940320324,1.708759116,1.260344754,1.346374062,1.333629111,1.246049285,1.003031118
0.682758536,2.106354399,1.794485618,1.391872013,1.247291598,1.24557676,1.233085453,1.003031118
0.711265363,2.065802166,1.661539203,1.195298525,1.214882743,1.216598166,1.274923726,1.002455997
0.738229813,1.947675803,1.687636575,1.703957195,1.281816711,1.274191125,1.279177948,1.002455997
2.792554368,1.923169527,1.78744984,1.382207653,1.419027205,1.453484902,1.412744204,1.002223119
1.378464508,2.274120103,1.793232134,1.457965053,1.457083999,1.417650304,1.483593786,1.003184364
0.717305496,2.328404155,2.12123241,1.807014783,1.576157984,1.510558121,1.533623292,1.003031118
0.743741919,2.15039353,1.835576487,1.878837201,1.410807475,1.300527029,1.31106521,1.003057006
0.768727413,2.139921482,1.915448223,1.412940659,1.356365699,1.426534303,1.413764475,1.001908911
0.79241845,2.116513853,1.789392842,1.401944995,1.354645239,1.351469139,1.39146171,1.001402466
0.81494719,2.127411291,1.831837222,1.158678729,1.358954994,1.353808437,1.393712099,1.000798434
2.357725847,2.159479009,1.763097182,1.532737212,1.384626759,1.371434573,1.423833795,1.000782721
0.808502888,2.158597055,1.875516641,1.48082787,1.469686717,1.448121636,1.452046824,1.002455997
0.829969364,1.850110526,1.905714597,1.89054551,1.408307784,1.430467586,1.407041939,1.002201282
0.850417444,2.024792938,1.796643166,1.387413683,1.365733696,1.457114185,1.395170564,1.001908911
0.869940149,2.28739298,1.730967316,1.370548598,1.43651309,1.395791499,1.387889318,1.002145437
0.888616881,1.916049655,1.899219039,1.38862328,1.449742915,1.424703492,1.433724538,1.000782721
1.750135774,1.887374057,1.943721252,1.442062359,1.370668359,1.421339155,1.394967954,1.000782721
0.893180108,2.227500211,1.898911342,1.418259588,1.466650042,1.418556136,1.389262707,1.000798434
0.910533299,2.226240233,1.754833395,1.56073187,1.44012171,1.420540864,1.469016478,1.000782721
0.927184443,2.06381884,1.838241195,1.563464356,1.308881414,1.345560536,1.310363568,1.000374775
1.825431079,2.250332445,1.900292161,1.775000971,1.461837258,1.423747145,1.48398223,0.999718542
0.928911523,2.288819232,1.924400373,1.39042385,1.452009161,1.48623462,1.456857287,1.000749214
1.827413884,1.863172186,1.929150027,1.413307763,1.46905473,1.456952427,1.582256111,1.000798434
2.644957246,2.177881252,2.078831672,3.161107522,1.583560824,1.58100042,1.609655488,1.001402466
4.127382079,2.646843543,2.045303567,1.511583369,1.769356834,1.733675465,1.809724643,1.001402466
0.84452147,2.530719407,2.396660862,1.683268745,1.609621931,1.627804874,1.715236396,1.001402466
0.862453058,2.747576479,2.220632171,2.054471434,1.929495857,1.931701637,1.883070589,1.000798434
2.470823019,2.271984261,2.005580623,1.833547101,1.820564349,1.871791592,1.809897705,1.000798434
0.842004942,2.35131592,2.293466019,1.535893092,1.744178954,1.780120079,1.896113461,1.001402466
3.157106328,2.764887049,2.114899977,2.067948558,1.581106584,1.610230649,1.590016116,1.000782721
0.808994228,2.663285762,2.019501524,2.146563146,2.016918334,2.070565907,2.043521778,1.000798434
0.827473628,2.387501047,2.242599107,1.681248607,1.708011531,1.694316592,1.696919691,1.000782721
