PIT.Wei.SCD,PIT.GG.SCD,PIT.Burr.SCD,PIT.GB2.SCD,PIT.EGIG.SCD,PIT.EGIG.TSCD
0.367159202,0.367159202,0.221446538,0.195896593,0.415959425,0.426371455
0.787032313,0.787032313,0.781897157,0.76389165,0.947946704,0.954901545
0.670296931,0.670296931,0.569273583,0.569493078,0.74740616,0.755816432
0.342707667,0.342707667,0.194268751,0.189261549,0.21788143,0.223871683
0.614656518,0.614656518,0.50769514,0.492734719,0.410784277,0.411791508
0.359328076,0.359328076,0.194557137,0.171451921,0.212752634,0.217438236
0.380547746,0.380547746,0.230890312,0.191694194,0.462262206,0.465037542
0.39751205,0.39751205,0.249544784,0.207784685,0.285211968,0.293235928
0.423042506,0.423042506,0.241015731,0.230758393,0.293868138,0.297308954
0.420140741,0.420140741,0.298986107,0.246230973,0.427433727,0.434920818
0.439004841,0.439004841,0.294431551,0.761520886,0.588672587,0.594149966
0.452189619,0.452189619,0.275777058,0.275032743,0.52542779,0.531643076
0.460209818,0.460209818,0.246354939,0.293386277,0.517603029,0.520892526
0.486611432,0.486611432,0.273723914,0.300694263,0.577167938,0.587328905
0.81047104,0.81047104,0.811068716,0.798506307,0.930423965,0.939643166
0.644352626,0.644352626,0.55781687,0.533052236,0.530890784,0.535550689
0.512307032,0.512307032,0.331443625,0.327169758,0.524242443,0.524751374
0.4718974,0.4718974,0.312757618,0.307347639,0.534608292,0.536938479
0.503949021,0.503949021,0.294266536,0.316551937,0.355947567,0.369252822
0.494377867,0.494377867,0.298899938,0.340908788,0.330028163,0.334678495
0.500629125,0.500629125,0.334596394,0.327269923,0.455145955,0.465358609
0.774639234,0.774639234,0.764006148,0.742320683,0.740983211,0.749581935
0.499637845,0.499637845,0.371102465,0.329815265,0.338855265,0.348973594
0.506771336,0.506771336,0.378899726,0.342025601,0.252534078,0.254297042
0.512629094,0.512629094,0.3765171,0.347214901,0.476465421,0.489535552
0.513102719,0.513102719,0.34200402,0.353442581,0.669652249,0.675786966
0.524173325,0.524173325,0.405707962,0.404359473,0.505901213,0.517109233
0.701580341,0.901580341,0.656673987,0.630251103,0.605898391,0.619660071
0.526549231,0.526549231,0.36897735,0.363136707,0.502885789,0.500104638
0.531746596,0.531746596,0.417871019,0.367837007,0.564838226,0.567194714
0.534950383,0.534950383,0.423082523,0.378973113,0.372276999,0.376251226
0.714308331,0.714308331,0.659073531,0.644897284,0.740606839,0.742034555
0.538129942,0.538129942,0.408223224,0.3783716,0.489053759,0.493366665
0.715286696,0.715286696,0.678457482,0.654334099,0.677746379,0.683919522
0.799393713,0.799393713,0.790449802,0.781139881,0.876154834,0.888861577
0.880799265,0.880799265,0.899133168,0.899960114,0.739846681,0.74364475
0.509673015,0.509673015,0.38317943,0.343614451,0.367324127,0.370539118
0.516428195,0.516428195,0.380904333,0.379359705,0.234017914,0.237146886
0.784934061,0.784934061,0.771076985,0.757639619,0.692198775,0.694154143
0.510680095,0.510680095,0.386419605,0.373952252,0.438005219,0.447821126
0.834737298,0.834737298,0.842177224,0.835059574,0.877615772,0.884949323
0.499951893,0.499951893,0.351788671,0.326197251,0.418059213,0.423283471
0.517690448,0.517690448,0.371376667,0.332308488,0.394916093,0.393223979
0.511470587,0.511470587,0.384214846,0.349201879,0.522409866,0.523327142
0.68996035,0.68996035,0.627421084,0.61141558,0.607449517,0.611620925
0.709923365,0.109923365,0.592785147,0.595651824,0.793788532,0.795596627
0.505222182,0.505222182,0.380160375,0.335250259,0.461736259,0.463996974
0.676432297,0.676432297,0.625641864,0.597517362,0.535878292,0.546883448
0.504777439,0.504777439,0.379676436,0.338163774,0.415307857,0.428348915
0.775655248,0.775655248,0.759308397,0.743497148,0.889302762,0.89407307
0.499192591,0.499192591,0.330482074,0.330509008,0.42424924,0.422828616
0.513147457,0.513147457,0.380082797,0.33382788,0.30698716,0.318753084
0.510113189,0.510113189,0.345763036,0.342370283,0.326375096,0.330671135
0.546124777,0.546124777,0.351066055,0.348455283,0.434680138,0.430445512
