Parameter,miu,be,sig,a,p,q,LogL,AIC,BIC
Estimate,0.547359926,0.938117841,0.190974561,0.650906208,2.781196085,24.97811961,-9187.959735,18387.91947,18428.32007
Estimate,0.551640834,0.943606113,0.195370326,0.61002351,2.583104544,24.95831045,-9207.938991,18427.87798,18468.27858
Estimate,0.561438348,0.920001404,0.214501884,0.640588039,2.503282148,24.95032821,-9208.128515,18428.25703,18468.65763
Estimate,0.745849022,0.947103774,0.199094353,0.640129041,2.791649503,24.97916495,-9207.935103,18427.87021,18468.2708
Estimate,0.679655268,0.947010878,0.196180991,0.664957809,2.788773399,24.97887734,-9214.241205,18440.48241,18480.88301
Estimate,0.597519632,0.954595039,0.200046331,0.644896047,2.688260891,24.96882609,-9210.670497,18433.34099,18473.74159
Estimate,0.556459795,0.92884982,0.199705383,0.616613585,2.781055265,25.17810553,-9220.489465,18452.97893,18493.37953
Estimate,0.59064778,0.955096719,0.198999474,0.623524076,2.779366322,25.17793663,-9217.008592,18446.01718,18486.41778
Estimate,0.605722415,0.933756211,0.19997738,0.620330387,2.779886029,24.9779886,-9220.666035,18453.33207,18493.73267
Estimate,0.582721842,0.941034338,0.19056105,0.611206357,2.78268341,24.97826834,-9219.350376,18450.70075,18491.10135
Estimate,0.619785436,0.931990076,0.199123097,0.607168413,2.780654419,24.97806544,-9232.292269,18476.58454,18516.98514
Estimate,0.557550771,0.930977045,0.198338474,0.599600326,2.885347103,24.98853471,-9221.250363,18454.50073,18494.90132
Estimate,0.672192324,0.940247325,0.219974705,0.622330442,2.778478972,24.9778479,-9213.625857,18439.25171,18479.65231
Estimate,0.592514015,0.919728309,0.199510437,0.630272678,2.880010885,24.78800109,-9227.525391,18467.05078,18507.45138
Estimate,0.394823636,0.941932862,0.206319557,0.632949738,2.787872022,24.9787872,-9216.091058,18444.18212,18484.58271
Estimate,0.620842795,0.91999936,0.199998929,0.624154219,2.779995574,24.97799956,-9232.063139,18476.12628,18516.52688
Estimate,0.555935998,0.930788885,0.204513371,0.63246714,2.779902443,25.07799024,-9197.546314,18407.09263,18447.49323
Estimate,0.617219265,0.936717677,0.195342687,0.653156366,2.677788063,24.96777881,-9216.771553,18445.54311,18485.9437
Estimate,0.740307498,0.909799311,0.190990649,0.594723613,2.701284824,24.97012848,-9226.988719,18465.97744,18506.37804
Estimate,0.73578143,0.91656966,0.199823473,0.615762302,2.778854108,25.17788541,-9221.989644,18455.97929,18496.37989
Estimate,0.415363924,0.93313755,0.204576293,0.600982134,2.714259296,24.97142593,-9214.402631,18440.80526,18481.20586
Estimate,0.370736227,0.930007741,0.199974196,0.599845177,2.713017899,24.97130179,-9218.985594,18449.97119,18490.37179
Estimate,0.699268519,0.929838074,0.193497848,0.632945923,2.787974872,24.97879749,-9203.720779,18419.44156,18459.84216
Estimate,0.576352785,0.929859257,0.19024183,0.600066663,2.781746355,24.97817464,-9232.533766,18477.06753,18517.46813
Estimate,0.54499668,0.90083154,0.192559726,0.620763308,2.706560845,24.97065608,-9190.7652,18393.5304,18433.931
Estimate,0.583809309,0.92987761,0.203604298,0.701252869,2.779983838,24.97799838,-9227.631991,18467.26398,18507.66458
Estimate,0.65611191,0.928655368,0.198041656,0.642467295,2.778356187,24.97783562,-9211.273719,18434.54744,18474.94804
