Parameter,miu,be,sig,lam,del,w,LogL,AIC,BIC
Estimate,0.592660177,0.954979531,0.168058844,0.141124466,1.114540187,0.205357259,-9115.099368,18242.19874,18282.59933
Estimate,0.754837749,0.959925398,0.235938715,0.264622523,1.109951965,0.220957993,-9145.186819,18302.37364,18342.77424
Estimate,0.599587151,0.949716352,0.151643894,-0.066206838,1.109891608,0.161611085,-9134.173052,18280.3461,18320.7467
Estimate,0.627649345,0.949999315,0.049184279,-0.178742222,1.1233195,0.199988646,-9102.793049,18217.5861,18257.9867
Estimate,0.616039479,1.040079953,0.040124208,0.080807242,1.110050612,0.200038192,-9112.277893,18236.55579,18276.95638
Estimate,0.950380397,0.982289786,0.178042857,-0.136320667,1.052120317,0.431058509,-9157.82307,18327.64614,18368.04674
Estimate,0.871337961,1.03000743,0.139888555,-0.073170526,1.109554219,0.368438762,-9156.850019,18325.70004,18366.10064
Estimate,0.521060446,0.960002136,0.039995252,0.152537314,1.109971513,0.149992878,-9130.10739,18272.21478,18312.61538
Estimate,0.597699,0.955078727,0.098632578,-0.024816509,0.951641307,0.233695483,-9136.675619,18285.35124,18325.75184
Estimate,0.676999921,0.960000568,0.039998738,0.114359939,1.11664092,0.149998106,-9120.91381,18253.82762,18294.22822
Estimate,0.55546084,0.954553585,0.141679671,0.067613713,1.106412548,0.195194134,-9115.548486,18243.09697,18283.49757
Estimate,0.611093694,1.005328889,0.127938621,0.008669357,1.064167761,0.411193866,-9173.671613,18359.34323,18399.74382
Estimate,0.599551819,0.950000541,0.056826729,-0.17121137,1.10999315,0.235445624,-9181.175664,18374.35133,18414.75193
Estimate,0.494199874,1.026240648,0.14210736,-0.121311547,1.109957814,0.227890776,-9133.628822,18279.25764,18319.65824
Estimate,0.537146928,0.971932369,0.068244084,-0.095565636,1.116220365,0.173888285,-9146.011438,18304.02288,18344.42347
Estimate,0.674383167,0.961532509,0.106962393,0.025476287,1.127044432,0.211810575,-9126.748886,18265.49777,18305.89837
Estimate,0.599499941,0.960059996,0.140836738,0.031493207,1.10989075,0.251001174,-9134.357936,18280.71587,18321.11647
Estimate,0.596140309,0.95000054,0.143381862,-0.066536846,1.11087752,0.18038117,-9126.463992,18264.92798,18305.32858
Estimate,0.59105316,1.0299977,0.13970912,0.020066767,1.009580259,0.259860812,-9101.313639,18214.62728,18255.02788
Estimate,0.358245753,0.91862308,0.118691457,0.110092841,0.925767897,0.481807888,-9127.704118,18267.40824,18307.80883
Estimate,0.622662147,0.95988068,0.136125232,-0.228530956,1.109924241,0.199977904,-9156.817799,18325.6356,18366.0362
Estimate,0.470654495,0.961315022,0.192466191,0.224779976,1.111144726,0.22153187,-9129.281395,18270.56279,18310.96339
Estimate,0.570215806,0.958875763,0.129415167,-0.006773694,1.117517186,0.232440438,-9140.077862,18292.15572,18332.55632
Estimate,0.599659387,0.959983636,0.139996069,-0.074736552,1.110005491,0.250009269,-9144.673328,18301.34666,18341.74725
Estimate,0.600228274,0.959985054,0.040068198,-0.169690491,1.11017161,0.200198151,-9175.64766,18363.29532,18403.69592
Estimate,0.318554863,0.909973354,0.20357158,0.073310947,1.104703874,0.191455993,-9137.214127,18286.42825,18326.82885
Estimate,0.459655224,0.959846443,0.19005509,-0.028884542,1.109824588,0.200082343,-9152.016201,18316.0324,18356.433
Estimate,0.555526718,0.961821612,0.160254354,-0.166112994,1.110508199,0.203522355,-9152.644701,18317.2894,18357.69
Estimate,0.539837942,1.014196287,0.200274467,0.010813136,1.03852106,0.380819515,-9151.566291,18315.13258,18355.53318
Estimate,0.487972569,0.989435299,0.054206343,0.03351709,1.181734798,0.161445087,-9175.451182,18362.90236,18403.30296
Estimate,0.650992108,0.960210278,0.126759357,0.024250542,1.113285483,0.150892358,-9104.873877,18221.74775,18262.14835
Estimate,1.025147745,1.004870935,-0.049738432,0.354703537,1.055992345,0.090652577,-9144.416303,18300.83261,18341.2332
Estimate,0.58582621,0.994628564,0.09683343,-0.023814266,1.162586923,0.119079503,-9140.115225,18292.23045,18332.63105
Estimate,0.666401544,0.954036782,0.131336314,-0.093903569,1.111889198,0.179878332,-9124.280367,18260.56073,18300.96133
Estimate,0.586110251,0.949987878,0.145627775,-0.097962882,1.109992263,0.161685,-9138.905683,18289.81137,18330.21196
Estimate,0.723369729,1.008934248,0.13175335,0.01539132,1.034022057,0.253596146,-9157.108544,18326.21709,18366.61769
Estimate,0.420520327,1.038732226,0.133608202,-0.049952586,1.116306548,0.154663575,-9147.134211,18306.26842,18346.66902
Estimate,0.402555635,1.02987539,0.139980927,-0.099528114,1.009930066,0.527076729,-9144.95069,18301.90138,18342.30198
Estimate,0.487788764,0.953551116,0.128215389,-0.044770889,1.109834369,0.175727929,-9125.900671,18263.80134,18304.20194
Estimate,0.616995237,0.948460548,0.140579107,-0.080142648,1.109689443,0.16795105,-9124.639655,18261.27931,18301.67991
Estimate,0.600546965,0.951528382,0.140365328,0.031753527,1.11104944,0.203107283,-9108.805759,18229.61152,18270.01212
Estimate,0.870924049,1.029853435,0.139924321,0.241380513,1.199591888,0.240761701,-9145.912071,18303.82414,18344.22474
Estimate,0.520677501,1.029532903,0.139146038,-0.024342745,1.035622033,0.219447204,-9117.428989,18246.85798,18287.25858
Estimate,0.402555635,1.02987539,0.139980927,-0.099528114,1.009930066,0.527076729,-9144.95069,18301.90138,18342.30198
Estimate,0.758158723,1.029872486,0.13970196,0.104281484,1.119166907,0.354331518,-9143.228633,18298.45727,18338.85786
Estimate,0.584725927,0.959774103,0.16059369,0.01775125,1.109983453,0.257455138,-9128.986652,18269.9733,18310.3739
Estimate,0.57026017,0.962337145,0.03907305,-0.167473717,1.108972044,0.19890021,-9181.196238,18374.39248,18414.79307
Estimate,0.587584649,0.974536051,0.053232647,-0.179978086,1.097352881,0.209433217,-9165.383652,18342.7673,18383.1679
Estimate,0.642272259,1.000070245,0.010165372,-0.014655047,1.040301709,0.197495317,-9131.631977,18275.26395,18315.66455
Estimate,0.610028453,0.959390611,0.041061744,-0.159885722,1.114722203,0.195697347,-9173.615078,18359.23016,18399.63075
Estimate,0.594860047,0.950081501,0.140036478,0.033123578,1.109910442,0.205568444,-9106.591352,18225.1827,18265.5833
Estimate,0.601428898,0.949668058,0.140361103,0.031135632,1.110610802,0.199224255,-9106.013447,18224.02689,18264.42749
Estimate,0.82784799,0.886444785,0.237209294,0.286662888,1.162381887,0.172795842,-9121.417903,18254.83581,18295.2364
Estimate,0.517554117,0.95151523,0.174301459,0.227380935,1.117821491,0.230128845,-9114.847939,18241.69588,18282.09648
Estimate,0.656463674,0.926141787,0.134261944,0.056734118,1.105419505,0.254591367,-9123.87207,18259.74414,18300.14474
Estimate,0.590609341,0.960000674,0.061657513,0.032644049,1.109991013,0.206818335,-9126.781432,18265.56286,18305.96346
Estimate,0.64591272,0.961104025,0.088145059,-0.097708156,1.102573653,0.206947754,-9130.860569,18273.72114,18314.12174
Estimate,0.599686072,0.960027185,0.046758324,0.132235428,1.110018939,0.161607357,-9125.761688,18263.52338,18303.92397
Estimate,0.715422093,1.02033523,0.153498602,0.086705362,1.231338522,0.106738281,-9100.600287,18213.20057,18253.60117
Estimate,0.624537832,0.93363875,0.145924767,0.02447256,1.111257087,0.216864028,-9108.829793,18229.65959,18270.06018
Estimate,0.571685399,1.029955649,0.140468611,0.108395108,1.038825623,0.522928369,-9103.691735,18219.38347,18259.78407
Estimate,0.599950986,0.954167786,0.150478137,0.025475134,1.128851575,0.204027882,-9128.063052,18268.1261,18308.5267
Estimate,0.586865258,0.961927741,0.060489451,0.0105139,1.111665603,0.213572792,-9149.474668,18310.94934,18351.34993
Estimate,0.630270083,0.950320644,0.079432123,0.099626932,1.133027893,0.208529243,-9149.55741,18311.11482,18351.51542
Estimate,0.652373148,0.950198721,0.037502642,0.014107933,1.11170859,0.200456446,-9173.64046,18359.28092,18399.68152
Estimate,0.603015211,0.960478257,0.039749546,0.127750731,1.109021234,0.152644621,-9114.975741,18241.95148,18282.35208
Estimate,0.578449149,1.03693517,0.116954697,-0.130155006,1.092049366,0.301067794,-9172.109035,18356.21807,18396.61867
Estimate,0.669148531,0.984260506,0.153594062,-0.078706693,1.048104268,0.329344307,-9163.367981,18338.73596,18379.13656
Estimate,0.598540923,1.00038983,0.060614927,-0.119301391,1.111474656,0.183287828,-9163.566225,18339.13245,18379.53305
Estimate,0.496324724,0.960006798,0.186109285,0.077925466,1.109980731,0.249997652,-9136.027275,18284.05455,18324.45515
Estimate,0.592358366,0.950000598,0.144026307,0.001814041,1.118868831,0.199997905,-9109.864696,18231.72939,18272.12999
Estimate,0.600005864,0.949999406,0.140935592,0.028941572,1.110417917,0.200746117,-9104.922042,18221.84408,18262.24468
Estimate,0.597887182,0.959993115,0.144720225,-0.073166294,1.115945844,0.266612709,-9163.246012,18338.49202,18378.89262
Estimate,0.498702593,1.029865086,0.143458498,-0.069554049,1.110134406,0.049834641,-9147.762456,18307.52491,18347.92551
Estimate,0.596871431,0.949997993,0.04195633,0.027456125,1.109998719,0.201648851,-9154.224855,18320.44971,18360.85031
Estimate,0.428708091,0.929082827,0.217840087,0.223099024,1.23557875,-0.007397844,-9151.506329,18315.01266,18355.41326
Estimate,0.615892397,0.950002926,0.137736879,-0.221157632,1.109964892,0.244470108,-9160.01934,18332.03868,18372.43928
Estimate,0.620840289,0.961234961,0.122388447,-0.115376757,1.120130863,0.219571411,-9136.715347,18285.43069,18325.83129
Estimate,0.870924049,1.029853435,0.139924321,0.241380513,1.199591888,0.240761701,-9145.912071,18303.82414,18344.22474
Estimate,0.801673302,1.029838656,0.139975305,0.182558798,1.379529692,0.049983536,-9161.874009,18335.74802,18376.14862
Estimate,0.82237059,1.030182667,0.139852381,0.228062073,1.263156783,0.104065146,-9131.452142,18274.90428,18315.30488
Estimate,0.483041877,0.956455269,0.135443363,-0.06255184,1.112579202,0.153411647,-9138.966837,18289.93367,18330.33427
Estimate,0.721960746,0.98617399,0.094879637,0.139918378,1.254962033,0.117868554,-9181.270449,18374.5409,18414.9415
Estimate,0.657535417,0.973899343,0.055430014,-0.080875306,1.11985952,0.175940783,-9146.810756,18305.62151,18346.02211
Estimate,0.540373433,0.896365682,0.21544674,-0.068257889,1.104287271,0.25008615,-9116.423339,18244.84668,18285.24728
Estimate,0.595278484,1.030113956,0.140379376,-0.101367422,1.132967008,0.102725503,-9164.315187,18340.63037,18381.03097
Estimate,0.601201008,0.959984634,0.040000957,0.028474868,1.11005511,0.15095434,-9127.602226,18267.20445,18307.60505
Estimate,0.845406494,0.927621777,0.235823401,0.044214008,0.915799867,0.374927371,-9142.962129,18297.92426,18338.32486
Estimate,0.561803703,0.960089686,0.041198027,0.116225095,1.11001793,0.150312944,-9124.710893,18261.42179,18301.82238
Estimate,0.471908634,1.049260418,-0.031736451,0.244281093,1.021423842,0.072743092,-9174.613122,18361.22624,18401.62684
Estimate,0.603413253,0.96139346,0.077945609,0.004215572,1.110021439,0.193702471,-9125.006833,18262.01367,18302.41426
Estimate,0.603408962,0.960000912,0.176837212,0.095122004,1.109987822,0.249995933,-9127.334357,18266.66871,18307.06931
Estimate,0.556253388,0.97530247,0.102651793,-0.09981788,1.194151218,0.063372577,-9173.294761,18358.58952,18398.99012
Estimate,0.778769639,0.960922267,0.249673421,0.072022312,1.108053024,0.200828122,-9176.665952,18365.3319,18405.7325
Estimate,0.552598896,0.95997986,0.139996803,0.018688812,1.109987213,0.249995738,-9133.536811,18279.07362,18319.47422
Estimate,0.59806408,0.950071906,0.131474475,-0.109008912,1.110046187,0.248286322,-9139.327639,18290.65528,18331.05588
Estimate,0.555815004,0.950671271,0.136785233,-0.030434826,1.135909054,0.163199425,-9117.676018,18247.35204,18287.75263
Estimate,0.643164884,1.029949185,0.139992222,-0.140410773,1.009971481,0.128188605,-9160.229669,18332.45934,18372.85994
Estimate,0.499140409,0.996378501,0.112810295,0.007370436,1.113053255,0.182296191,-9150.669771,18313.33954,18353.74014
Estimate,0.662393465,0.978388872,0.196400574,-0.178384669,1.519661806,0.08919082,-9110.390522,18232.78104,18273.18164
Estimate,0.748245244,1.031461944,0.140120153,-0.07951286,1.027371971,0.316259203,-9128.653341,18269.30668,18309.70728
Estimate,0.504599895,1.025210524,0.20446341,-0.069642857,1.11979568,0.10863195,-9111.886497,18235.77299,18276.17359
Estimate,0.599470686,0.949831491,0.140622958,0.029962825,1.109991151,0.200297257,-9105.94365,18223.8873,18264.2879
Estimate,0.272538121,0.960164384,0.160523236,0.025841946,1.110525239,0.210539705,-9144.037289,18300.07458,18340.47518
Estimate,0.551521758,0.960002222,0.039995063,0.129935506,1.128986393,0.149992594,-9140.970329,18293.94066,18334.34126
Estimate,0.578122013,0.944898679,0.11746943,-0.115689106,1.110916345,0.22478147,-9129.75653,18271.51306,18311.91366
Estimate,0.499140409,0.996378501,0.112810295,0.007370436,1.113053255,0.182296191,-9150.669771,18313.33954,18353.74014
Estimate,0.760840992,0.937877673,0.103756363,-0.017591564,0.939520001,0.282410103,-9115.603042,18243.20608,18283.60668
Estimate,0.59995006,0.959915137,0.040663107,0.032752117,1.109601577,0.200284553,-9146.424179,18304.84836,18345.24896
Estimate,0.75357665,0.94221051,0.117795662,0.253684392,0.896594992,0.034666164,-9180.826131,18373.65226,18414.05286
Estimate,0.487752648,0.968896162,0.09748681,0.040660601,1.120760085,0.222153714,-9131.891032,18275.78206,18316.18266
Estimate,0.624046738,0.950002672,0.151621535,0.136490333,1.109973614,0.19999426,-9100.211226,18212.42245,18252.82305
Estimate,0.6417607,0.967260097,0.048195591,-0.002627935,1.10040148,0.193002687,-9131.164487,18274.32897,18314.72957
Estimate,0.592180866,0.963258525,0.105356395,0.17415404,1.099770595,0.113666264,-9181.452136,18374.90427,18415.30487
Estimate,0.55243014,1.029923754,0.141039175,-0.018473354,1.008592477,0.19476296,-9138.894676,18289.78935,18330.18995
Estimate,0.479482063,0.922801059,0.108932733,-0.030121808,1.209451794,0.127723606,-9146.472212,18304.94442,18345.34502
Estimate,0.636303375,0.959499062,0.127538375,0.043688262,1.107574891,0.150510003,-9112.911402,18237.8228,18278.2234
Estimate,0.707830001,0.951389857,0.10587719,0.052210063,0.915216268,0.454091889,-9182.046357,18376.09271,18416.49331
Estimate,0.893085279,0.983075174,0.018003702,-0.126192057,0.980191352,0.296654787,-9166.538951,18345.0779,18385.4785
Estimate,0.646050671,0.95998707,0.039998632,0.099429072,1.126033313,0.151226175,-9128.577663,18269.15533,18309.55592
Estimate,0.503425671,0.949941344,0.189729764,0.091339534,1.109880284,0.245557539,-9126.092446,18264.18489,18304.58549
Estimate,0.886219753,0.957791288,0.180888925,-0.155236306,1.028168622,0.246056536,-9178.586787,18369.17357,18409.57417
Estimate,0.589806063,1.023596678,0.167305177,0.015627617,1.208668186,0.064914122,-9137.949438,18287.89888,18328.29947
Estimate,0.598768926,0.949905763,0.143604293,0.027650027,1.111794272,0.20098249,-9110.914807,18233.82961,18274.23021
Estimate,0.600969463,0.949999475,0.140348793,0.031977535,1.11023874,0.200160335,-9103.710049,18219.4201,18259.8207
Estimate,0.614963593,1.033775946,0.041642699,0.025358826,1.104576752,0.199276466,-9102.82806,18217.65612,18258.05672
Estimate,0.513238873,1.029988495,0.187386113,0.206435387,1.071277146,0.263726093,-9137.476818,18286.95364,18327.35423
Estimate,0.488627175,0.951771442,0.147511639,-0.017116894,1.113056459,0.141937216,-9133.49823,18278.99646,18319.39706
Estimate,0.394600122,0.948446278,0.133657578,-0.029799432,1.183914119,0.210355138,-9179.228598,18370.4572,18410.85779
