"miu","be","sig","a","LogL","AIC","BIC"
0.49064686,0.924670007,0.296053327,0.404980626,-9301.159841,18610.31968,18637.25341
0.746028729,0.944691051,0.215564193,0.4351984,-9301.304842,18610.60968,18637.54342
0.677652659,0.946190958,0.223698557,0.406108315,-9301.414054,18610.82811,18637.76184
0.278320529,0.693190602,0.43952297,0.548932759,-9301.715549,18611.4311,18638.36483
0.615748785,0.931247866,0.19477577,0.381263965,-9302.070117,18612.14023,18639.07397
0.585232151,0.904651352,0.296563791,0.40167921,-9302.939124,18613.87825,18640.81198
0.291091313,0.652724441,0.612496815,0.637905093,-9303.2709,18614.5418,18641.47553
0.746360138,0.905137068,0.300214155,0.487063088,-9303.501823,18615.00365,18641.93738
0.406357177,0.846141126,0.364135309,0.401016002,-9303.735246,18615.47049,18642.40422
0.641673094,0.938767304,0.180059745,0.380118426,-9303.79317,18615.58634,18642.52007
0.61893221,0.938407847,0.233761478,0.493809654,-9303.863405,18615.72681,18642.66054
0.576404063,0.91099514,0.206663331,0.473764968,-9304.200472,18616.40094,18643.33468
0.666522264,0.893584983,0.330761825,0.571917323,-9304.559019,18617.11804,18644.05177
0.791814694,0.949835284,0.20470644,0.447045087,-9304.569806,18617.13961,18644.07334
0.632890872,0.925834502,0.286654376,0.561759476,-9304.595338,18617.19068,18644.12441
0.756269758,0.921297444,0.27638197,0.543464616,-9304.619791,18617.23958,18644.17331
0.719243601,0.943175282,0.264560545,0.471981714,-9304.877398,18617.7548,18644.68853
0.726033837,0.950686313,0.237567103,0.4188824,-9305.044004,18618.08801,18645.02174
0.699468864,0.904724997,0.305690932,0.580714393,-9305.347248,18618.6945,18645.62823
0.537057313,0.873988989,0.291257788,0.386101345,-9305.475828,18618.95166,18645.88539
0.607946219,0.954080256,0.214062296,0.385680777,-9305.561773,18619.12355,18646.05728
0.731828724,0.907748906,0.29033976,0.534342525,-9305.590875,18619.18175,18646.11548
0.547880366,0.953576825,0.173693169,0.408212628,-9305.636314,18619.27263,18646.20636
0.564566364,0.917913735,0.318393982,0.565878975,-9305.687051,18619.3741,18646.30783
0.570514337,0.926177023,0.299072074,0.551176368,-9305.869505,18619.73901,18646.67274
0.595354855,0.961118408,0.218811895,0.435382729,-9306.092134,18620.18427,18647.118
0.685874522,0.906601855,0.248903301,0.405171658,-9306.322331,18620.64466,18647.57839
0.769974223,0.964817662,0.193113449,0.433126753,-9306.624206,18621.24841,18648.18214
0.670661892,0.942935364,0.245020076,0.527843198,-9306.686518,18621.37304,18648.30677
0.573272324,0.962511024,0.230433256,0.419995709,-9306.780532,18621.56106,18648.4948
0.65454629,0.907449663,0.274278987,0.565980536,-9306.804262,18621.60852,18648.54226
0.735392613,0.90711123,0.244342763,0.501035527,-9306.829115,18621.65823,18648.59196
0.556663766,0.956739069,0.268415274,0.448078172,-9306.913993,18621.82799,18648.76172
0.706392116,0.965008212,0.218169439,0.438154432,-9307.107804,18622.21561,18649.14934
0.70895549,0.93563909,0.179837977,0.41101446,-9307.112342,18622.22468,18649.15842
0.50619014,0.964009757,0.230961839,0.507036276,-9307.191949,18622.3839,18649.31763
0.574275358,0.9366549,0.176911655,0.470329071,-9307.410529,18622.82106,18649.75479
0.562262187,0.779919718,0.435864702,0.484374723,-9307.465325,18622.93065,18649.86438
