Parameter,miu,be,sig,a,p,LogL,AIC,BIC
Estimate,0.60986,0.964377503,0.19954314,0.341174083,5.499198208,-9211.925222,18433.85044,18467.51761
Estimate,0.612576875,0.961827266,0.133388802,0.330831348,5.498716389,-9198.734586,18407.46917,18441.13634
Estimate,0.45388323,0.977792458,0.109156043,0.307238878,5.590414562,-9214.11016,18438.22032,18471.88748
Estimate,0.587850646,0.964450512,0.135706059,0.320800879,5.540133099,-9196.586924,18403.17385,18436.84101
Estimate,0.56276819,0.960240042,0.162007451,0.333180708,5.519560457,-9192.193867,18394.38773,18428.0549
Estimate,0.466807358,0.9584937,0.141077197,0.341383325,5.495160364,-9199.653654,18409.30731,18442.97447
Estimate,0.582825253,0.966851333,0.128728953,0.32895999,5.498529052,-9205.268848,18420.5377,18454.20486
Estimate,0.67763867,0.964388188,0.140360088,0.306419901,5.594306386,-9203.929077,18417.85815,18451.52532
Estimate,0.504499617,0.953153005,0.136242743,0.312433777,5.475180009,-9194.029071,18398.05814,18431.72531
Estimate,0.528779077,0.973469964,0.115912678,0.331682231,5.603417403,-9209.182704,18428.36541,18462.03257
Estimate,0.579429177,0.969887526,0.175201715,0.322301278,5.499741768,-9205.014159,18420.02832,18453.69548
Estimate,0.614143181,0.969947839,0.155505916,0.316323078,5.499880243,-9210.936235,18431.87247,18465.53964
Estimate,0.690969867,0.970025529,0.136319565,0.307160314,5.499836853,-9210.893437,18431.78687,18465.45404
Estimate,0.5872548,0.967424448,0.121380974,0.32388467,5.532823815,-9200.064434,18410.12887,18443.79603
Estimate,0.549077694,0.971526247,0.1089192,0.316085454,5.57538475,-9213.535878,18437.07176,18470.73892
Estimate,0.57992717,0.969971338,0.138918429,0.323466782,5.529714687,-9204.552822,18419.10564,18452.77281
Estimate,0.54823264,0.952192678,0.154277638,0.327922917,5.698305205,-9196.437639,18402.87528,18436.54244
Estimate,0.601856233,0.953312508,0.167585616,0.333457875,5.605067404,-9191.589258,18393.17852,18426.84568
Estimate,0.253677211,0.969900841,0.123165754,0.311365501,5.741624216,-9209.206017,18428.41203,18462.0792
Estimate,0.648683364,0.972443619,0.139711002,0.324061964,5.494271876,-9200.45159,18410.90318,18444.57035
Estimate,0.636690995,0.94383474,0.151171757,0.351778907,5.466859113,-9213.538698,18437.0774,18470.74456
Estimate,0.571165211,0.969957828,0.140586188,0.34467283,5.499903177,-9204.11929,18418.23858,18451.90575
Estimate,0.533120041,0.975969771,0.148475522,0.316655806,5.514328549,-9205.732483,18421.46497,18455.13213
Estimate,0.420070272,0.848901351,0.317942414,0.337907554,5.475946274,-9204.314727,18418.62945,18452.29662
Estimate,0.520152237,0.962075787,0.125235306,0.318849807,5.569862877,-9193.119173,18396.23835,18429.90551
Estimate,0.543549939,0.909175988,0.246852327,0.307429535,5.708947302,-9205.809241,18421.61848,18455.28565
Estimate,0.665051576,0.968350009,0.165101867,0.31829269,5.628027929,-9211.519368,18433.03874,18466.7059
