"miu","be","sig","a","q","LogL","AIC","BIC"
0.660349188,0.982323049,0.09943938,1.350830545,2.070741707,-9223.236502,18456.473,18490.14017
0.288222381,0.87912072,0.316583601,1.418728833,2.091442574,-9223.747088,18457.49418,18491.16134
0.783759255,0.929576687,0.250193941,1.427337467,2.120078694,-9224.322816,18458.64563,18492.3128
0.852899574,0.964426759,0.169670883,1.364480298,2.328416063,-9224.356677,18458.71335,18492.38052
0.708328431,0.930521457,0.160501871,1.347498973,2.161855015,-9224.958414,18459.91683,18493.58399
0.72419297,0.983758464,0.13603043,1.360103617,2.553911115,-9225.123297,18460.24659,18493.91376
0.599534652,0.8608315,0.354659794,1.490665792,2.119204549,-9225.255016,18460.51003,18494.1772
0.47498342,0.920753737,0.246974531,1.342394039,2.069136929,-9225.306335,18460.61267,18494.27984
0.4953862,0.801140083,0.328618037,1.406416804,2.158945673,-9225.529288,18461.05858,18494.72574
0.443267697,0.944843065,0.1851462,1.592548449,2.086034072,-9225.811489,18461.62298,18495.29014
0.689406683,0.942228861,0.223499848,1.367849417,2.03882455,-9225.902225,18461.80445,18495.47162
0.820214217,0.982755055,0.109295607,1.33367649,2.402336768,-9226.309498,18462.619,18496.28616
0.637172313,0.90190328,0.210972342,1.505028216,2.214739895,-9226.441065,18462.88213,18496.54929
0.890151759,0.981231023,0.134270021,1.475439288,2.113269569,-9226.470998,18462.942,18496.60916
0.839593369,0.95748502,0.181235442,1.440142041,2.321502986,-9226.57993,18463.15986,18496.82703
0.744994385,0.954446123,0.172815437,1.514077994,2.18998796,-9226.652071,18463.30414,18496.97131
0.637184023,0.892920739,0.292905085,1.386798746,2.190439839,-9226.729307,18463.45861,18497.12578
0.522924039,0.88647842,0.246704186,1.324624772,2.151471013,-9227.058255,18464.11651,18497.78368
0.667900729,0.899534007,0.194700193,1.398339624,2.217356099,-9227.303723,18464.60745,18498.27461
0.538318755,0.899667779,0.320181797,1.437953851,2.1031264,-9227.813491,18465.62698,18499.29415
0.64974923,0.918050117,0.197369482,1.313141855,2.104993001,-9227.949422,18465.89884,18499.56601
0.646535703,0.902029807,0.297235161,1.376213417,2.315433876,-9229.078057,18468.15611,18501.82328
0.6518594,0.904050552,0.256482822,1.341898475,2.109894831,-9230.60473,18471.20946,18504.87662
1.028942642,0.968444641,0.161918445,1.377724048,2.379850898,-9231.005394,18472.01079,18505.67795
0.821726947,0.968777325,0.122537466,1.381690519,2.49734236,-9231.0128,18472.0256,18505.69276
0.453527072,0.934583759,0.29182445,1.488219709,1.934798771,-9232.196894,18474.39379,18508.06095
0.604602869,0.957035575,0.121380161,1.28845279,2.133492638,-9232.254495,18474.50899,18508.17616
0.081011281,0.972091584,0.162869596,1.258492066,4.107499061,-9232.728489,18475.45698,18509.12414
0.623234819,0.892784068,0.226426889,1.558667721,2.105648766,-9233.295846,18476.59169,18510.25886
1.07937905,0.981169219,0.145243842,1.447387853,2.03873316,-9233.306862,18476.61372,18510.28089
0.623941281,0.987732474,0.109505536,1.299384651,2.35437662,-9233.389408,18476.77882,18510.44598
0.696349627,0.900050147,0.305155373,1.430543475,2.165888868,-9233.45072,18476.90144,18510.56861
0.75995697,0.896050434,0.258628947,1.393453835,2.108774747,-9233.733811,18477.46762,18511.13479
0.514686427,0.874517456,0.192165036,1.371814331,2.072394323,-9233.770421,18477.54084,18511.20801
0.826788608,0.96293788,0.142438749,1.460199393,2.21678234,-9233.888028,18477.77606,18511.44322
0.641827072,0.941808647,0.262749116,1.409874245,2.039658282,-9233.975172,18477.95034,18511.61751
0.673529421,0.900012086,0.322357107,1.464126259,2.204446013,-9234.155596,18478.31119,18511.97836
0.703109468,0.927163169,0.244211153,1.569013795,2.11764521,-9234.274299,18478.5486,18512.21576
0.516895868,0.887534751,0.35595497,1.428519254,2.454169376,-9234.783113,18479.56623,18513.23339
0.777681281,0.912173571,0.248098537,1.353582554,2.521373599,-9235.603502,18481.207,18514.87417
0.620439495,0.940312688,0.217114182,1.344766566,1.911451975,-9235.92917,18481.85834,18515.5255
0.886621774,0.96536148,0.208234938,1.400741207,2.13607333,-9236.000786,18482.00157,18515.66874
0.773808191,0.923734218,0.27719476,1.450579805,2.121774473,-9236.146074,18482.29215,18515.95931
0.796914473,0.958485054,0.186473297,1.536227798,2.094280435,-9236.345251,18482.6905,18516.35767
0.61455363,0.956809091,0.1181614,1.277887071,2.077996206,-9236.730674,18483.46135,18517.12851
0.681090242,0.959972585,0.241689879,1.491501663,2.18546015,-9236.764095,18483.52819,18517.19535
0.516474862,0.944180878,0.282858048,1.428846998,2.121021624,-9236.956441,18483.91288,18517.58005
0.763804306,0.959478203,0.233490671,1.393288157,2.106573662,-9238.145705,18486.29141,18519.95857
0.791835731,0.905708226,0.242538103,1.481940727,2.036919544,-9238.288011,18486.57602,18520.24319
0.857563496,0.937293095,0.243923455,1.483140301,2.233963066,-9238.40489,18486.80978,18520.47695
0.594663304,0.86434731,0.246773092,1.340196896,2.082843977,-9238.996508,18487.99302,18521.66018
0.716230391,0.915767024,0.297653352,1.4265549,2.901014024,-9239.131223,18488.26245,18521.92961
0.703582212,0.914254302,0.274819444,1.359577868,2.102714731,-9239.541405,18489.08281,18522.74997
0.766961571,0.959578706,0.132273523,1.285203718,2.237997552,-9239.62291,18489.24582,18522.91298
0.58321108,0.874429665,0.255529364,1.319941522,2.116771887,-9239.886285,18489.77257,18523.43973
0.662124666,0.890503762,0.293087795,1.354850686,2.097301155,-9239.95574,18489.91148,18523.57864
0.684547379,0.912851719,0.257943037,1.495556432,2.803380208,-9240.193057,18490.38611,18524.05328
0.730853004,0.945706182,0.184768827,1.302506745,2.019050516,-9240.443194,18490.88639,18524.55355
1.272024058,0.988075926,0.161609688,1.380021467,2.440763345,-9240.652144,18491.30429,18524.97145
0.50312131,0.899628908,0.342852489,1.43173833,2.099782654,-9240.843355,18491.68671,18525.35387
