"miu1","miu2","be1","be2","sig1","sig2","lam1","lam2","del1","del2","w1","w2","LogL","AIC","BIC"
0.410407437,1.00199012,0.888401463,0.975974946,0.226420748,0.101670406,0.265659835,1.193272614,1.787513804,0.445217457,0.296057936,0.082468652,-8987.659746,17999.31949,18080.12069
0.232234142,0.765714844,0.879316515,0.972505022,0.309440028,0.201946235,0.334090742,1.183452064,1.828131894,0.481174898,0.295860815,0.076896035,-8988.042307,18000.08461,18080.88581
0.381329449,0.928031376,0.890176145,0.978434187,0.205393272,0.150722393,0.260818666,1.230995031,1.7945487,0.422749096,0.300066079,0.090506114,-8988.401809,18000.80362,18081.60481
0.423341,1.024733839,0.899989992,0.969989568,0.199998941,0.179002099,0.356477192,1.208227866,1.803689606,0.435754409,0.299998411,0.04999947,-8988.495095,18000.99019,18081.79138
0.150538935,1.01766546,0.867614889,0.969246444,0.252748438,0.159584316,0.261360399,1.24129681,1.808739671,0.435920677,0.334555604,0.103302605,-8989.388465,18002.77693,18083.57813
0.150538935,1.01766546,0.867614889,0.969246444,0.252748438,0.159584316,0.261360399,1.24129681,1.808739671,0.435920677,0.334555604,0.103302605,-8989.388465,18002.77693,18083.57813
0.305214975,0.953548306,0.898267967,0.956834385,0.202358187,0.179875218,0.230501496,1.235220773,1.802043926,0.430344302,0.296782189,0.130177667,-8989.606998,18003.214,18084.01519
0.356906733,0.990249246,0.899977052,0.969919224,0.280837223,0.141613948,0.314074853,1.204382761,1.800100185,0.429497564,0.299888723,0.049748999,-8989.627685,18003.25537,18084.05657
0.337502621,0.984271139,0.899997024,0.970013954,0.229883119,0.154156239,0.252868268,1.19902977,1.800056642,0.440932538,0.309464046,0.08103013,-8989.936818,18003.87364,18084.67483
0.332013968,1.025362904,0.91102348,0.966387524,0.266376572,0.107722136,0.248649028,1.158799052,1.785767118,0.431903839,0.30458473,0.103198033,-8989.96181,18003.92362,18084.72481
