x.use,Wei,GG,Burr,GB2,EGIG,TSCD
2.660672715,2.097655367,1.79267052,1.632596668,1.572068554,2.070389372,1.401144551
1.592024329,2.151638755,1.895349574,1.78724349,1.613423068,2.122292196,1.487818705
0.530189231,2.030778563,1.819172764,1.549313946,1.47146629,2.067182326,1.480834885
2.638846515,2.234358256,1.978089212,1.904110217,1.727819505,2.169520398,1.726453668
1.053609919,2.268408211,1.921701131,1.815912393,1.67297635,2.147890528,1.727782748
1.576086949,2.313944271,2.013487134,1.895266967,1.72255048,2.20766416,1.793575448
2.093783975,2.383030169,2.1099465,2.072232485,1.858004541,2.270662706,1.911076292
2.605310549,2.589878506,2.250270536,2.297131528,1.99004083,2.356657752,2.070786481
1.558913683,2.621727096,2.253638036,2.253209321,1.946013511,2.380696836,2.110395136
0.519164171,2.487846911,2.094271084,1.851411167,1.757492366,2.275851959,2.054074218
1.03643649,2.488969377,2.105097443,1.782651982,1.68729061,2.264931069,1.840770166
1.034548681,2.386334581,2.075850119,1.746474096,1.610761116,2.276285175,1.853223314
0.516803145,2.229108777,1.95045074,1.520111932,1.445219646,2.270960459,1.812876468
0.516332454,2.097093377,1.838409926,1.377824426,1.301921008,2.144876526,1.44128722
1.03078516,2.045296459,1.858988562,1.406291425,1.329702803,2.196283918,1.402221043
1.541959597,2.072625713,1.927259781,1.579302156,1.441874765,2.243521279,1.486689
2.55826558,2.280704559,2.055099219,1.918988122,1.670885352,2.288940115,1.651046171
0.511187927,2.223877431,1.888761625,1.612279259,1.513374949,2.241476751,1.653531767
0.510723234,2.132930267,1.785403397,1.411459754,1.387039464,2.169929828,1.324423028
0.510259038,2.024343565,1.687314645,1.278059673,1.272180607,2.111186878,1.173474779
0.509795337,1.963566086,1.646078788,1.197663261,1.206558929,2.075249593,1.056355983
0.509332131,1.947458941,1.588498531,1.111991632,1.155902146,2.014168298,1.000747951
1.523836433,2.046721526,1.672022073,1.323722609,1.314600539,2.047955019,1.149751798
0.507484246,1.910406731,1.600385426,1.203638865,1.209410351,1.983442169,1.176129269
1.013126514,1.867548514,1.618583474,1.293756973,1.274079129,2.016856171,1.186116416
0.506103499,1.830061001,1.554203555,1.188982779,1.189138818,1.965059783,1.202698677
2.017077463,1.977553171,1.70351077,1.471931365,1.400854287,2.024425217,1.412542714
1.508696674,2.080796815,1.771640963,1.61015436,1.499287075,2.110336176,1.491202571
0.50244304,1.983734315,1.667272703,1.462370738,1.353358571,2.069075431,1.491875719
1.003065586,1.994772591,1.702664645,1.455815982,1.349554682,2.085878137,1.431981649
3.488535143,2.276347169,1.949016969,1.93380027,1.672361376,2.240545003,1.867527542
0.497911143,2.160298328,1.836333957,1.607433854,1.513849256,2.164752852,1.821123523
0.994021083,2.076944021,1.806805504,1.584446472,1.48556631,2.193585286,1.688370167
2.473837045,2.247283532,1.95816716,1.932203111,1.67069541,2.263567462,1.834556869
2.462680889,2.382486712,2.119218981,2.157313147,1.836814791,2.285440215,1.984982227
1.473609369,2.376313973,2.139463741,2.093047321,1.836600365,2.324073094,2.021149789
2.93129839,2.505133727,2.269105753,2.384378895,2.058307778,2.437695655,2.202363613
0.488109142,2.334639177,2.108028012,1.976376746,1.786567493,2.344040311,2.128294756
0.48766902,2.182665842,1.932200842,1.696223521,1.61472891,2.288391562,1.566100418
0.973580355,2.157417483,1.918060788,1.653002145,1.594281952,2.285145875,1.501979536
0.486351456,2.006862379,1.77971839,1.438136112,1.473490388,2.221478709,1.267754585
0.485913199,1.921525417,1.695804813,1.292445306,1.361308728,2.125608989,1.128241233
0.485475408,1.876227265,1.624277819,1.180124623,1.24581612,2.044495703,1.033349411
0.485038081,1.793624316,1.563441019,1.125897795,1.14471741,1.981287053,0.953969215
0.484601218,1.689287518,1.48276701,1.055792706,1.083756475,1.945233666,0.912819351
0.484164818,1.656513411,1.431044548,1.012891267,1.039297815,1.86748193,0.866238999
0.483728882,1.597734964,1.362218547,0.980410673,1.006899431,1.824115597,0.849902534
1.447271529,1.70437747,1.437250423,1.1972233,1.166860987,1.850670699,1.034939755
0.481989752,1.663841536,1.380936758,1.129444697,1.095603912,1.792334049,1.079500234
0.9622459,1.701250296,1.370670816,1.203673455,1.163055742,1.788929733,1.112087799
1.917579403,1.838160044,1.498575272,1.45827432,1.357435414,1.872302343,1.314367502
0.47896397,1.775454949,1.417951943,1.300095039,1.267363991,1.823876283,1.334063856
