"Date","t","L.dur","x.use"
2025-09-29,37501,55,1.52940083037392
2025-09-29,37576,75,2.0171143741572
2025-09-29,37790,214,5.25628636053691
2025-09-29,38036,246,5.48847797300149
2025-09-29,38215,179,3.74435507221869
2025-09-29,38227,12,0.249977249560277
2025-09-29,38295,68,1.38411367454817
2025-09-29,38301,6,0.121882313315549
2025-09-29,38351,50,0.999007671955125
2025-09-29,38382,31,0.613170219375232
2025-09-29,38392,10,0.197160306866943
2025-09-29,38421,29,0.566491380638225
2025-09-29,38433,12,0.233521463038014
2025-09-29,38440,7,0.135920640244955
2025-09-29,38488,48,0.918207772345759
2025-09-29,38630,142,2.60400210715951
2025-09-29,38688,58,1.04628722700132
2025-09-29,38845,157,2.71569216275268
2025-09-29,38896,51,0.870879132249423
2025-09-29,38990,94,1.56903955662861
2025-09-29,39089,99,1.61559680060973
2025-09-29,39200,111,1.7691084363919
2025-09-29,39406,206,3.15713560197152
2025-09-29,39579,173,2.57778376590827
2025-09-29,39602,23,0.341542047968891
2025-09-29,39630,28,0.414106920012602
2025-09-29,39648,18,0.265534087170356
2025-09-29,39695,47,0.688892957626623
2025-09-29,40043,348,4.91197448836984
2025-09-29,40180,137,1.91440281412734
2025-09-29,40304,124,1.72107233990544
2025-09-29,40479,175,2.41497918486876
2025-09-29,40519,40,0.551611171326352
2025-09-29,40594,75,1.03356538832268
2025-09-29,40600,6,0.0826836180246994
2025-09-29,40706,106,1.46149258969605
2025-09-29,40838,132,1.82526845666357
2025-09-29,41100,262,3.67109404385658
2025-09-29,41163,63,0.886864486375556
2025-09-29,41298,135,1.92319109652096
2025-09-29,41354,56,0.802338149087288
2025-09-29,41380,26,0.37356087111752
2025-09-29,41513,133,1.94149538179285
2025-09-29,41553,40,0.586996970169667
2025-09-29,41732,179,2.69718545895172
2025-09-29,41773,41,0.621948413413761
2025-09-29,41791,18,0.273876688068078
2025-09-29,41824,33,0.504957353565277
2025-09-29,41841,17,0.260905164962357
2025-09-29,41950,109,1.70679441673356
2025-09-29,41973,23,0.361757828920057
2025-09-29,42168,195,3.19496569159357
2025-09-29,42174,6,0.0984388519799206
2025-09-29,42305,131,2.21612076658639
2025-09-29,42338,33,0.562804871982652
2025-09-29,42339,1,0.0170589263824058
2025-09-29,42340,1,0.0170631631888033
2025-09-29,42426,86,1.4999183205662
2025-09-29,42455,29,0.509657530322655
2025-09-29,42510,55,0.9809977551146
2025-09-29,42562,52,0.940930482866352
2025-09-29,42840,278,5.4686815916234
2025-09-29,42977,137,2.81982210817054
2025-09-29,43054,77,1.62764662787064
2025-09-29,43120,66,1.4283178978563
2025-09-29,43153,33,0.722774932454019
2025-09-29,43250,97,0.280593005231985
2025-09-29,44014,764,2.48346776295919
2025-09-29,44434,420,1.44414597472422
2025-09-29,45542,1108,3.05516410215169
2025-09-29,46107,565,2.2976029169673
2025-09-29,46584,477,2.00169716333556
2025-09-29,46617,33,0.138746375183872
2025-09-29,48131,1514,3.47925745447985
2025-09-29,48747,616,2.72095186552324
2025-09-29,48796,49,0.216315604989644
2025-09-29,49095,299,1.3131816754247
2025-09-29,49355,260,1.13415265087034
2025-09-29,50069,714,3.02309004066403
2025-09-29,50369,300,1.24831027886553
2025-09-29,50909,540,2.16198356782895
2025-09-29,51037,128,0.507114727439882
2025-09-29,51200,163,0.636714266946923
2025-09-29,51400,200,0.766919851502017
2025-09-29,51730,330,1.22393504720313
2025-09-29,51731,1,0.00370849986256106
2025-09-29,51732,1,0.00370810556601042
2025-09-29,51803,71,0.261274078707155
2025-09-29,52898,1095,2.52306551418099
2025-09-29,53451,553,1.62917019341192
2025-09-29,54058,607,1.61192978147652
2025-09-29,56872,2814,39.8196185301114
2025-09-29,57000,128,6.25281916705783
2025-09-29,57006,6,0.292617851281199
2025-09-29,57014,8,0.389299338198249
2025-09-29,57035,21,1.01601363898283
2025-09-29,57300,265,11.9037190755277
2025-09-29,57304,4,0.179474445875998
2025-09-29,57309,5,0.224024034855974
2025-09-29,57360,51,2.25201437801608
2025-09-30,34201,1,0.483323852610455
2025-09-30,34202,1,0.483015798332758
2025-09-30,34203,1,0.48270797590776
2025-09-30,34204,1,0.482400385142428
2025-09-30,34205,1,0.482093025843904
2025-09-30,34206,1,0.481785897819504
2025-09-30,34207,1,0.48147900087672
2025-09-30,34209,2,0.961731798933637
