Parameter,miu,be,sig,a,p,LogL,AIC,BIC
Estimate,0.565820983,0.939592224,0.181274547,0.375744647,4.039710771,-9981.356703,19972.71341,20006.79471
Estimate,0.565156585,0.939156842,0.181668378,0.38901255,3.940302327,-9971.019669,19952.03934,19986.12064
Estimate,0.565907677,0.969457718,0.181638807,0.396404038,3.893077811,-9975.343886,19960.68777,19994.76907
Estimate,0.562380576,0.939701831,0.181377999,0.360677351,4.043286094,-9998.052495,20006.10499,20040.18629
Estimate,0.565829134,0.92967781,0.171080975,0.373714631,4.006574712,-9993.850032,19997.70006,20031.78137
Estimate,0.566279512,0.939143468,0.182118315,0.395760269,3.954246311,-9983.857086,19977.71417,20011.79547
Estimate,0.584558728,0.93940209,0.15147712,0.376180703,3.961977245,-9962.044198,19934.0884,19968.1697
Estimate,0.565780667,0.969485797,0.181452233,0.382972472,3.983961511,-9974.502912,19959.00582,19993.08712
Estimate,0.566099242,0.939424049,0.151372941,0.391712648,3.968436777,-9995.042571,20000.08514,20034.16644
Estimate,0.565334197,0.996947166,0.181396559,0.366810622,4.012979134,-9985.273463,19980.54693,20014.62823
Estimate,0.565643368,0.939432755,0.171404142,0.391547676,3.94320672,-9982.234657,19974.46931,20008.55061
Estimate,0.565331676,0.939696741,0.181000956,0.372598937,4.035529662,-9997.034148,20004.0683,20038.1496
Estimate,0.566034764,0.939766472,0.18108894,0.369683637,4.012610053,-9997.474731,20004.94946,20039.03076
Estimate,0.524988937,0.939482351,0.181001446,0.359199799,3.954557067,-9999.361796,20008.72359,20042.80489
Estimate,0.566230426,0.939696122,0.181487252,0.384625432,3.955881579,-9997.203962,20004.40792,20038.48923
Estimate,0.558278755,0.995475702,0.151852135,0.370954901,3.975162431,-9986.713565,19983.42713,20017.50843
Estimate,0.566543814,0.939266695,0.181758716,0.38118577,3.985203292,-9980.063964,19970.12793,20004.20923
Estimate,0.566040469,0.939644562,0.181130378,0.351318613,3.993182045,-9997.524134,20005.04827,20039.12957
Estimate,0.565557178,0.929681346,0.151476427,0.366932314,3.982124531,-9987.850057,19985.70011,20019.78142
Estimate,0.560309494,0.939213993,0.182619507,0.402701771,3.932095259,-9996.702613,20003.40523,20037.48653
Estimate,0.566688184,0.939527981,0.181605117,0.384303591,3.994507441,-9984.019053,19978.03811,20012.11941
Estimate,0.5658343,0.939658511,0.171525316,0.380085077,3.998982756,-9985.176729,19980.35346,20014.43476
Estimate,0.566264396,0.939698834,0.181431842,0.357167766,3.956682599,-9998.838912,20007.67782,20041.75913
Estimate,0.57497796,0.93947328,0.181860738,0.416635098,3.800696277,-9986.2542,19982.5084,20016.5897
Estimate,0.565013324,0.929154328,0.18146231,0.396152795,3.964640075,-9993.8167,19997.6334,20031.7147
Estimate,0.563906602,0.985998448,0.182981149,0.363923134,4.221308175,-9981.394865,19972.78973,20006.87103
Estimate,0.525546012,0.939627079,0.181311679,0.382132868,4.016135353,-9988.237278,19986.47456,20020.55586
Estimate,0.568107964,0.939569305,0.181498496,0.367030463,3.963163656,-9986.86247,19983.72494,20017.80624
Estimate,0.56526191,0.939731499,0.151031117,0.370080116,4.193947393,-10000.17602,20010.35204,20044.43334
Estimate,0.555200941,0.938780807,0.182668679,0.397440473,4.088294249,-9975.728195,19961.45639,19995.53769
Estimate,0.564732991,0.939680039,0.18116535,0.375479598,3.947124661,-9985.902271,19981.80454,20015.88584
Estimate,0.576870853,0.9393603,0.182002116,0.39274562,3.97505471,-9987.821939,19985.64388,20019.72518
Estimate,0.566126875,0.939702098,0.181376062,0.354322717,3.981740365,-10000.33376,20010.66753,20044.74883
Estimate,0.563566573,0.93952775,0.18112898,0.375823244,3.949800048,-9988.62177,19987.24354,20021.32484
Estimate,0.565880144,0.959599241,0.181372287,0.361641746,3.979799487,-9982.624222,19975.24844,20009.32975
Estimate,0.56647769,0.939707078,0.21108786,0.36386098,3.959701272,-9993.936325,19997.87265,20031.95395
Estimate,0.566855873,0.939276513,0.151795593,0.370041898,3.958534017,-9984.755088,19979.51018,20013.59148
Estimate,0.56655555,0.929581868,0.181234587,0.365932936,3.962634318,-9995.496714,20000.99343,20035.07473
Estimate,0.565570819,0.939699575,0.181543055,0.387097119,4.036420189,-9993.252474,19996.50495,20030.58625
Estimate,0.564359966,0.929411059,0.171180262,0.376933165,3.960257545,-9988.96206,19987.92412,20022.00542
Estimate,0.565951987,0.996336313,0.181673943,0.369015918,3.968284822,-9986.176944,19982.35389,20016.43519
Estimate,0.566203085,0.939691203,0.191441296,0.359444474,3.947687506,-9996.394125,20002.78825,20036.86955
Estimate,0.565312168,0.939568765,0.18180489,0.38717144,3.97321793,-9981.565456,19973.13091,20007.21221
Estimate,0.565456628,0.939431126,0.181341262,0.380467479,3.916108468,-9977.273767,19964.54753,19998.62883
Estimate,0.575954116,0.939700791,0.171288123,0.366154305,4.00393194,-9990.268391,19990.53678,20024.61808
Estimate,0.565060602,0.939127754,0.182036271,0.383325593,3.980901784,-9961.331521,19932.66304,19966.74434
Estimate,0.564975808,0.969303811,0.181656551,0.377903781,3.97317105,-9962.826268,19935.65254,19969.73384
Estimate,0.565221851,0.959693118,0.181402705,0.375547258,3.982955435,-9983.123329,19976.24666,20010.32796
Estimate,0.566437256,0.929547983,0.182028801,0.37640526,3.898794299,-9997.934962,20005.86992,20039.95122
Estimate,0.565115044,0.969695477,0.181415779,0.376516757,3.988517956,-9990.214305,19990.42861,20024.50991
Estimate,0.559693325,0.939690216,0.18126215,0.352251181,3.967182001,-9999.113985,20008.22797,20042.30927
Estimate,0.565376196,0.938612387,0.182945717,0.421575867,3.92377554,-9992.925858,19995.85172,20029.93302
Estimate,0.564380505,0.929302279,0.18193906,0.403743289,4.02353903,-9974.88883,19959.77766,19993.85896
Estimate,0.566201159,0.939700441,0.181453018,0.368808944,3.97938018,-9989.810325,19989.62065,20023.70195
Estimate,0.526106236,0.929722455,0.18136169,0.361527212,4.02179523,-9995.939625,20001.87925,20035.96055
Estimate,0.5656412,0.929562734,0.181058789,0.370120107,4.030320312,-9992.852601,19995.7052,20029.7865
Estimate,0.566137613,0.959582425,0.181217102,0.362149909,3.980626261,-9991.077842,19992.15568,20026.23698
Estimate,0.552143473,0.939602999,0.181300459,0.379878036,3.968917534,-9986.043393,19982.08679,20016.16809
Estimate,0.585811435,0.939141218,0.17207278,0.380298462,3.936134574,-9965.383756,19940.76751,19974.84881
Estimate,0.564576669,0.939436306,0.181653431,0.381258837,3.972397668,-9966.761224,19943.52245,19977.60375
Estimate,0.526249697,0.939644177,0.181392135,0.373628583,3.951951716,-9986.908196,19983.81639,20017.89769
Estimate,0.525311121,0.939699614,0.191279704,0.368946387,3.967515937,-9985.187831,19980.37566,20014.45696
Estimate,0.56561126,0.939623373,0.181258067,0.36441811,3.984829096,-9978.853905,19967.70781,20001.78911
