"miu","be","sig","lam","del","w","LogL","AIC","BIC"
0.402750338,0.847427604,0.261826229,0.34262202,0.903686134,0.654995096,-9786.62878,19585.25756,19626.15512
0.394194133,0.904742031,0.219285214,0.300977473,0.899012769,0.601339313,-9786.98675,19585.9735,19626.87106
0.268506515,0.895867764,0.242485112,0.284106048,0.81577807,0.714023245,-9787.25554,19586.51108,19627.40864
0.394216637,0.859256046,0.245166321,0.302653585,0.742345558,0.809604033,-9787.50695,19587.0139,19627.91146
0.248106558,0.897689437,0.27965169,0.391845426,0.89842214,0.601631949,-9787.85157,19587.70314,19628.6007
0.312550173,0.904792202,0.220329959,0.297168536,0.914068926,0.596990689,-9788.18738,19588.37476,19629.27232
0.333916066,0.902195662,0.23607754,0.299259822,0.896254533,0.638120281,-9788.39022,19588.78044,19629.678
0.384801111,0.900007123,0.242448763,0.324513413,0.911824638,0.623423703,-9788.39196,19588.78392,19629.68148
0.312257188,0.90845975,0.259852355,0.335186022,0.906161262,0.595388782,-9788.57123,19589.14246,19630.04002
0.557417056,0.900228216,0.178086798,0.286152039,0.752765611,0.714017172,-9788.84607,19589.69214,19630.5897
0.327079597,0.900000599,0.23816889,0.301302287,0.899991343,0.639406657,-9789.64708,19591.29416,19632.19172
0.283616053,0.90006832,0.231772842,0.299589292,0.924260097,0.599955063,-9789.9889,19591.9778,19632.87536
0.42559866,0.851741939,0.253947932,0.209699417,0.720764944,0.748540146,-9790.09858,19592.19716,19633.09472
0.379570597,0.876377431,0.262022425,0.190917774,0.706800147,0.807433847,-9790.30231,19592.60462,19633.50218
0.352267134,0.912860104,0.238097908,0.329350021,0.899958684,0.594634696,-9790.57302,19593.14604,19634.0436
0.173854498,0.89299667,0.22153899,0.474201965,0.891130054,0.592195531,-9791.01309,19594.02618,19634.92374
0.313495787,0.91649806,0.195664238,0.282310557,0.771777083,0.725409127,-9791.10015,19594.2003,19635.09786
0.28957357,0.905366354,0.209785226,0.317728255,0.895247433,0.622225333,-9791.13584,19594.27168,19635.16924
0.407378738,0.921505387,0.272021598,0.315534106,0.629479649,0.887459557,-9791.52172,19595.04344,19635.941
0.304702769,0.900634499,0.215825592,0.292477852,0.899351258,0.610237268,-9791.67462,19595.34924,19636.2468
0.521835456,0.899953642,0.272752679,0.251340298,0.751102831,0.719049973,-9791.88269,19595.76538,19636.66294
0.232535734,0.899219238,0.2272076,0.361059396,0.899659367,0.620507957,-9792.05438,19596.10876,19637.00632
0.296763199,0.891737369,0.221896292,0.285939414,0.902342264,0.612260501,-9792.14036,19596.28072,19637.17828
0.392874207,0.899969771,0.282539009,0.356773247,0.923268649,0.599996801,-9792.58982,19597.17964,19638.0772
0.335501776,0.900018497,0.217832876,0.304000407,0.899970506,0.616858372,-9792.61406,19597.22812,19638.12568
0.348531373,0.899915691,0.215051251,0.289459382,0.748355937,0.796806508,-9792.64119,19597.28238,19638.17994
0.688095739,0.86695437,0.220324284,0.504410178,0.698081961,0.667014519,-9792.85286,19597.70572,19638.60328
0.309710844,0.899998281,0.227936969,0.292522173,0.917165719,0.600001027,-9792.92762,19597.85524,19638.7528
0.37460766,0.653617198,0.462676177,0.283692307,0.583049915,1.082332266,-9793.30501,19598.61002,19639.50758
0.340391021,0.913538453,0.196483704,0.230743927,0.757264493,0.7443579,-9793.45952,19598.91904,19639.8166
0.270435243,0.897306474,0.244622472,0.315475618,0.930203286,0.614352491,-9793.48686,19598.97372,19639.87128
0.318766448,0.89908398,0.207399193,0.326190222,0.895334934,0.616253092,-9793.59533,19599.19066,19640.08822
0.478927024,0.937928244,0.262381945,0.364646611,0.53740815,1.026517834,-9793.70705,19599.4141,19640.31166
0.30825218,0.899996976,0.214124844,0.293687716,0.899997929,0.600001247,-9793.80713,19599.61426,19640.51182
1.190988646,0.985962142,0.172384986,0.763112219,0.638727963,0.582871645,-9794.27105,19600.5421,19641.43966
0.178408997,0.812323471,0.330347596,0.602023329,0.972287704,0.601138157,-9794.90526,19601.81052,19642.70808
0.301236926,0.897887131,0.210323251,0.295580825,0.897468552,0.607889526,-9795.47901,19602.95802,19643.85558
0.535674767,0.899217552,0.199475975,0.243957141,0.798237963,0.674845656,-9795.98218,19603.96436,19644.86192
0.497680594,0.788612947,0.319794094,0.195013183,0.805300399,0.717240788,-9796.39847,19604.79694,19645.6945
0.292215515,0.891550276,0.252997404,0.26981114,0.905528744,0.603473692,-9796.77778,19605.55556,19646.45312
0.282416184,0.900003118,0.250291047,0.241532284,0.747043332,0.733637001,-9797.15996,19606.31992,19647.21748
0.222612343,0.891724292,0.299161123,0.341831815,0.908865961,0.614804328,-9797.36709,19606.73418,19647.63174
0.275335076,0.980232435,0.097675694,0.668761863,0.696558518,0.599805907,-9797.5324,19607.0648,19647.96236
0.59364834,0.863931524,0.268273781,0.280399228,0.798614916,0.72742458,-9797.58758,19607.17516,19648.07272
0.194161924,0.946003009,0.160135738,0.402877079,0.726532941,0.770650114,-9797.59229,19607.18458,19648.08214
0.498630806,0.892163986,0.191824754,0.236466382,0.756230518,0.748613828,-9797.73662,19607.47324,19648.3708
0.658965072,0.931491132,0.140727678,0.484440845,0.814409932,0.60582406,-9797.78965,19607.5793,19648.47686
