"miu","be","sig","a","LogL","AIC","BIC"
0.589071339,0.910251177,0.235181751,0.833576478,-10038.87721,20085.75442,20113.01946
0.273402198,0.900875454,0.284805606,0.913568266,-10039.037,20086.074,20113.33904
0.470017298,0.771553817,0.381336973,0.881911733,-10039.23588,20086.47176,20113.7368
0.544193497,0.881833728,0.277107748,0.831495228,-10039.31876,20086.63753,20113.90257
0.252668862,0.807910952,0.329946994,0.908831261,-10039.39545,20086.79089,20114.05594
0.499660095,0.88613466,0.282874933,0.823145211,-10039.46237,20086.92474,20114.18978
0.56952032,0.900003561,0.218277719,0.843000793,-10039.94881,20087.89762,20115.16266
0.583082926,0.902846513,0.227742473,0.804780765,-10039.95208,20087.90416,20115.1692
0.513933128,0.853919076,0.27130859,0.935343592,-10040.1236,20088.2472,20115.51224
0.518940398,0.840808032,0.290529621,0.895157194,-10040.14317,20088.28634,20115.55138
0.552578864,0.936162455,0.220356368,0.814377452,-10040.18966,20088.37933,20115.64437
0.480040894,0.914123655,0.206983981,0.796350184,-10040.19112,20088.38224,20115.64728
0.604437573,0.894741784,0.253003949,0.832129067,-10040.63287,20089.26573,20116.53077
0.277448622,0.858129218,0.340029049,0.866883173,-10040.69041,20089.38082,20116.64586
0.612695462,0.888203572,0.249655538,0.856833574,-10040.91638,20089.83275,20117.09779
0.600212768,0.912425976,0.240255196,0.842011178,-10040.99948,20089.99895,20117.26399
0.621624065,0.90000198,0.228280298,0.852134458,-10041.02875,20090.05749,20117.32253
0.581477338,0.909527381,0.238365247,0.82180625,-10041.0976,20090.19519,20117.46023
0.393546498,0.879835193,0.245170941,0.795730006,-10041.21392,20090.42783,20117.69287
0.360394206,0.87901195,0.306689847,0.850544955,-10041.31172,20090.62344,20117.88848
0.636751109,0.89980028,0.2333201,0.834223492,-10041.3367,20090.67341,20117.93845
0.433407185,0.899796725,0.263872749,0.799997806,-10041.57259,20091.14517,20118.41021
0.586836319,0.898886615,0.229405254,0.802765449,-10041.60631,20091.21261,20118.47765
0.597110052,0.87838434,0.282864429,0.885657054,-10041.63105,20091.2621,20118.52714
0.354241059,0.902719821,0.276762384,0.880165504,-10041.68862,20091.37724,20118.64228
0.55564744,0.819396276,0.327372863,0.883478626,-10041.9087,20091.8174,20119.08244
0.27219929,0.911460053,0.253685991,0.832415189,-10042.12005,20092.24011,20119.50515
0.322862154,0.835630901,0.286421151,0.923643507,-10042.24424,20092.48849,20119.75353
0.427413333,0.907362886,0.267713943,0.82565884,-10042.25946,20092.51892,20119.78397
0.279617664,0.898944745,0.234494857,0.798079658,-10042.64261,20093.28522,20120.55026
0.522004113,0.925435215,0.203976063,0.84632802,-10042.69171,20093.38341,20120.64845
0.408628162,0.940130565,0.208837005,0.835823896,-10042.7195,20093.43901,20120.70405
0.513520773,0.88028072,0.303953298,0.848203399,-10042.76967,20093.53934,20120.80438
0.383616616,0.915439398,0.225582573,0.889030256,-10042.84215,20093.68429,20120.94933
0.514489,0.894099339,0.236102227,0.78187648,-10042.87261,20093.74521,20121.01026
0.384751461,0.741659874,0.395311172,0.872439293,-10042.96904,20093.93807,20121.20311
0.531249071,0.892638995,0.235535568,0.804895873,-10043.01625,20094.03251,20121.29755
0.550951807,0.843372752,0.295892111,0.840937739,-10043.08296,20094.16592,20121.43096
0.429125132,0.855095538,0.260747067,0.785791718,-10043.11608,20094.23217,20121.49721
0.51901544,0.92253725,0.258941556,0.877310844,-10043.14874,20094.29748,20121.56252
0.612134506,0.899850894,0.224819309,0.799459342,-10043.22082,20094.44163,20121.70668
0.625709102,0.884704655,0.263283399,0.852781609,-10043.34931,20094.69863,20121.96367
0.566125617,0.902032078,0.239826426,0.891726647,-10043.3838,20094.76761,20122.03265
0.345295106,0.863521372,0.341390275,0.927923135,-10043.454,20094.908,20122.17304
0.584688472,0.920962083,0.231851325,0.81735754,-10043.50116,20095.00232,20122.26736
0.539854218,0.905517354,0.216009844,0.787673218,-10043.6808,20095.36159,20122.62664
0.567529626,0.898358636,0.235048513,0.819830001,-10043.90291,20095.80582,20123.07086
0.383110117,0.900005472,0.285044317,0.819669967,-10044.01061,20096.02122,20123.28626
