x.use,Wei,GG,Burr,GB2,EGIG,TSCD
2.974127173,1.769887899,1.699469028,1.882223585,1.716523944,1.789949371,1.9618001
1.109548473,1.725366927,1.647328782,1.812174368,1.687700061,1.769637105,1.985191835
1.28669852,1.708212901,1.652257491,1.811050689,1.704321857,1.79690649,2.030981237
2.183136259,1.812744215,1.774259454,1.971364093,1.810366713,1.935118745,2.175910153
0.544380071,1.682493567,1.60504448,1.741974285,1.683512652,1.775434824,1.933230395
0.903415647,1.586985323,1.522635951,1.647840799,1.637543161,1.699951503,1.791695931
0.54065654,1.538994107,1.390635124,1.5076542,1.556421304,1.591704891,1.643036115
3.368896801,1.830370271,1.736794834,1.908890136,1.768939483,1.806637047,1.782945128
2.106018225,1.879842834,1.856584433,2.064554418,1.86293948,1.85436559,1.983358638
0.873770864,1.778739377,1.771789803,1.871915168,1.771084925,1.771506354,1.924949216
1.5607643,1.835350118,1.780986914,1.903289962,1.781838107,1.809191558,1.879972687
1.377925898,1.824205832,1.760513482,1.901153502,1.797119576,1.772175252,2.002527727
0.686621872,1.751247605,1.578445754,1.706324329,1.703383363,1.708199174,1.849082568
1.363934868,1.78782642,1.624076636,1.757922205,1.714225422,1.708726645,1.78307798
2.525021247,1.964211588,1.788989986,1.987911895,1.857608484,1.82806098,2.016139599
1.337578369,1.896278295,1.79458321,1.939515893,1.861988472,1.850799587,2.063670071
0.832454675,1.800973455,1.683752897,1.787440957,1.800568234,1.788089357,1.937042217
0.498206363,1.646197636,1.534480138,1.551123129,1.64865809,1.632677777,1.715098202
0.165928349,1.513475769,1.305312812,1.304503156,1.435465309,1.426347615,1.355827599
1.482035524,1.579450504,1.372585853,1.446040034,1.476221203,1.500966407,1.422302836
2.438985092,1.712353837,1.588794279,1.783964286,1.622775659,1.627835965,1.659443789
0.809576186,1.655397181,1.520940012,1.680666799,1.540672868,1.566370129,1.626430413
2.08199011,1.772997342,1.648472883,1.877762925,1.642052874,1.730045315,1.646149146
0.479248861,1.618118771,1.508033521,1.630597394,1.51788574,1.596609322,1.484689976
0.478042025,1.545176189,1.375194582,1.431002721,1.415332163,1.539146909,1.382864984
1.89300017,1.662560996,1.480475045,1.668984524,1.509213988,1.629465189,1.441787441
0.628886936,1.610678167,1.385047274,1.528867298,1.459003844,1.54937666,1.400127727
0.313916738,1.484974988,1.22623643,1.323066118,1.344864189,1.393992887,1.271708002
9.683228625,2.194087361,1.973303138,2.148151035,1.874018159,2.067210856,1.986032253
0.268754388,1.958486389,1.719571931,1.706323795,1.6533016,1.784307443,1.624069771
1.604483154,1.941871233,1.76190739,1.813895413,1.696579643,1.861782607,1.606455456
1.596486913,1.975560004,1.790238508,1.878434967,1.735944752,1.902145169,1.780262449
3.682022928,2.170132198,2.009426947,2.218726332,1.96264228,2.130827221,2.079073338
0.262783275,1.927719864,1.696640396,1.818130687,1.740966518,1.872777977,1.598083162
1.047647777,1.880619909,1.648720097,1.776424542,1.691632563,1.823542122,1.569926513
0.522955098,1.783460906,1.51728116,1.566628091,1.577185167,1.700240974,1.453542827
0.782482616,1.685549564,1.445222252,1.475378528,1.502215694,1.674120179,1.419847423
2.843063509,1.861854319,1.679495162,1.771616872,1.670273468,1.848213388,1.564480578
2.05403618,1.935463389,1.776683632,1.915107986,1.756440071,1.947706469,1.739506769
3.302138969,2.10241191,2.02890639,2.249847127,1.985164565,2.113335681,1.984274112
1.264822718,2.040723906,1.962685957,2.10488294,1.944314422,2.078322662,2.046465567
0.252755922,1.825705383,1.659872774,1.749933928,1.736582353,1.823980311,1.60698978
0.504678567,1.750583949,1.50178715,1.510300661,1.598516673,1.687387424,1.493339166
1.756211718,1.781730382,1.631636553,1.660537212,1.684794002,1.735947166,1.503687895
2.241315528,1.927954653,1.765932883,1.898911165,1.80886393,1.894833191,1.73515148
0.248830238,1.695246186,1.53525168,1.597896644,1.624790509,1.650742356,1.37539029
0.248625615,1.56217336,1.353517256,1.329066604,1.465613836,1.483407591,1.232264365
0.248421189,1.390546116,1.166698482,1.159886747,1.346402303,1.346709375,1.135988106
0.743427293,1.404492264,1.18177723,1.204711509,1.327723946,1.359143881,1.150931202
0.987982921,1.425321579,1.213158236,1.280026434,1.352335333,1.425903566,1.180308093
0.739163292,1.395472273,1.190122914,1.253379853,1.358281253,1.409899755,1.170970122
1.958200819,1.504217545,1.370434735,1.495092305,1.473044065,1.579402532,1.287047209
1.945398722,1.607838081,1.507837786,1.677397315,1.570522867,1.70446199,1.522186374
0.242975674,1.463037835,1.298728911,1.440132146,1.391683205,1.512903631,1.176538381
4.545327135,1.826742215,1.740382133,1.925690861,1.746727218,1.903813987,1.474226406
0.239032377,1.632466516,1.463214694,1.575565658,1.565446768,1.649880565,1.211431379
1.190291781,1.597198288,1.473210543,1.564669312,1.555398812,1.691522398,1.246020437
2.361243037,1.748103181,1.702171868,1.811577444,1.678299256,1.851632394,1.4312604
1.87672306,1.789424254,1.806959917,1.968233988,1.743007786,1.920228189,1.616987617
0.702054576,1.707272506,1.663695122,1.763920418,1.665418563,1.826591722,1.58062508
2.780949894,1.89379437,1.914441888,2.035691661,1.780933283,2.012359667,1.679572375
