"miu1","miu2","be1","be2","sig1","sig2","lam1","lam2","del1","del2","w1","w2","LogL","AIC","BIC"
0.199876087,1.023353692,0.899941408,0.979938928,0.262250819,0.185669252,0.192102676,-2.328959291,1.169455764,0.567530718,0.498096034,2.219117776,-9716.6706,19457.3412,19539.13632
0.305689798,1.093942228,0.81731231,0.983010873,0.301849496,0.15867668,0.038330013,-2.401547154,1.309295603,0.527568702,0.343148099,2.22959232,-9716.75217,19457.50434,19539.29946
0.11607191,0.979567831,0.76432262,0.892537648,0.154975588,0.23892077,0.215274462,-2.403985617,1.211733448,0.561204456,0.375453211,2.253814978,-9719.031,19462.062,19543.85712
0.36912021,1.186064518,0.906446148,0.97680331,0.178281549,0.167390086,0.124025374,-2.326711744,1.222668053,0.561562085,0.35975938,2.204477995,-9720.14663,19464.29326,19546.08838
0.223658844,1.061990837,0.805845601,0.982025198,0.197965706,0.100086312,-0.019053432,-2.199854513,1.12720215,0.582663796,0.475542083,2.184395399,-9720.32249,19464.64498,19546.4401
0.32863598,1.004483995,0.763869245,0.952231285,0.286231224,0.139297089,0.018330289,-2.426284677,1.197676148,0.533001711,0.416158541,2.228125197,-9720.70773,19465.41546,19547.21058
0.374884295,0.809103649,0.888395458,0.98863319,0.15795341,0.126805265,0.192352926,-2.403505199,1.280710352,0.538843181,0.330430552,2.257853467,-9723.00535,19470.0107,19551.80582
0.316012933,1.048100554,0.80403223,0.984208081,0.169294625,0.269059312,0.109803103,-2.348098024,1.291482597,0.502946263,0.28556376,2.295062691,-9725.26324,19474.52648,19556.3216
0.419395456,1.116361578,0.892766804,0.98305377,0.239222573,0.081279779,0.150779405,-2.428071941,1.254119349,0.465331147,0.322329757,2.261357941,-9727.64385,19479.2877,19561.08282
0.226085517,1.02762941,0.777557864,0.977079206,0.214806938,0.14878982,-0.029834294,-2.433825907,1.210772307,0.551327712,0.431044202,2.229011522,-9727.86078,19479.72156,19561.51668
0.298393405,0.995359607,0.802368796,0.98020755,0.16353584,0.157291511,0.135350447,-2.388166496,1.312409037,0.521091018,0.309928078,2.292137557,-9728.31532,19480.63064,19562.42576
0.075670508,1.210489319,0.898532086,0.979973359,0.327325006,0.099162531,0.185784165,-2.18220106,1.357957039,0.499538492,0.331188232,2.202276513,-9729.06543,19482.13086,19563.92598
0.253435511,0.873911905,0.795117989,0.967069734,0.397276701,0.049108239,0.003256652,-2.211329867,1.430393419,0.492530181,0.28150537,2.185602746,-9729.92817,19483.85634,19565.65146
0.147296226,1.418558574,0.823195143,0.953304312,0.247707598,0.234540416,0.266221492,-2.553300503,1.257865632,0.548118392,0.381987312,2.266218448,-9730.11826,19484.23652,19566.03164
0.568278067,0.957731639,0.83646611,0.988790203,0.239865129,0.192815099,0.465003623,-2.45006498,1.233132826,0.412366878,0.279150712,2.25846956,-9730.18023,19484.36046,19566.15558
0.37962354,1.210224849,0.89772353,0.988475124,0.170496245,0.127156625,0.207939935,-2.405740743,1.168509947,0.500223678,0.353397047,2.284109371,-9732.64328,19489.28656,19571.08168
0.540093662,1.536345766,0.890184478,0.979694409,0.209679782,0.255100652,0.346602261,-2.311430842,1.387802615,0.506379737,0.286874061,2.213429172,-9732.72654,19489.45308,19571.2482
0.135902679,1.238086054,0.799923169,0.975890902,0.204373652,0.263166922,0.142205022,-2.405594952,1.156546069,0.511609561,0.414583483,2.268564918,-9732.74098,19489.48196,19571.27708
0.488883169,1.039802967,0.866075119,0.983001509,0.184522725,0.108895189,0.076939022,-2.366205874,1.114568276,0.499854146,0.589827684,2.256839141,-9733.24365,19490.4873,19572.28242
0.184976239,0.892219698,0.846677556,0.989939137,0.34350008,0.126989545,0.059881118,-2.417435484,1.363124875,0.497902461,0.363151285,2.252275313,-9733.26308,19490.52616,19572.32128
0.076725429,0.934632217,0.799846555,0.979950836,0.280885885,0.196963018,0.302438406,-2.494520249,1.149898977,0.651511487,0.461094983,2.230666607,-9733.65649,19491.31298,19573.1081
0.273906726,1.091782354,0.785091987,0.9651219,0.186364866,0.187358397,0.039776978,-2.343915568,1.208088427,0.511961873,0.314925403,2.247282147,-9735.15241,19494.30482,19576.09994
0.047647916,0.658802885,0.898891087,0.979783115,0.158363575,0.178667159,0.874119171,-2.059655251,1.149876743,0.500532306,0.314257122,2.29057696,-9735.2625,19494.525,19576.32012
0.107619388,1.007799872,0.80446651,0.962124798,0.215108134,0.145237149,0.202794146,-2.447624555,1.113015554,0.607182304,0.464987739,2.191250269,-9735.4425,19494.885,19576.68012
0.320802737,1.235710027,0.899942452,0.970000609,0.159995128,0.188562934,0.273359796,-2.414358647,1.194040454,0.571475305,0.299990865,2.20374959,-9736.49263,19496.98526,19578.78038
0.397016888,0.966020586,0.865410191,0.925286819,0.270736467,0.334193063,0.037229905,-2.326168769,1.428883066,0.402559201,0.293893307,2.361106992,-9737.04084,19498.08168,19579.8768
0.243237657,1.378663359,0.790018266,0.98074122,0.344566842,0.072084571,0.187406816,-2.390587196,1.211540261,0.498677481,0.444490755,2.309161453,-9737.12031,19498.24062,19580.03574
