Index,ObsDur,fphi,fTaR_0.5,fTaR_0.25,fTaR_0.1,fTaR_0.05,fTaR_0.025,fTaR_0.01
1549,0.14099624,1.21764542,0.836940228,1.594773263,2.691561618,3.59960284,4.575188663,5.96699824
1550,0.218554057,1.742978619,1.137958255,2.259777844,3.945233144,5.377036,6.942367014,9.213537708
1551,1.149113597,1.166360099,0.842930271,1.537355567,2.505622222,3.287379679,4.113392401,5.273151994
1552,3.925955823,1.155805772,0.838958371,1.524271973,2.476458602,3.243347644,4.052303934,5.186283183
1553,3.87854776,1.684269047,1.10871343,2.187426518,3.798789784,5.162263187,6.648937675,8.80045569
1554,3.019139929,1.936317996,1.229425522,2.495125076,4.433327726,6.101300696,7.94075865,10.63213495
1555,1.386292152,1.818819741,1.210582443,2.366709384,4.080957675,5.524402872,7.093219583,9.356700195
1556,0.517981714,2.013255785,1.339622163,2.620677432,4.519455348,6.117499449,7.853581048,10.3571307
1557,1.62753433,1.902088,1.326205219,2.496128875,4.172102988,5.550223678,7.024201243,9.118036175
1558,0.120851561,1.978949055,1.324470793,2.579467946,4.43138355,5.985087962,7.669335866,10.09295249
1559,0.079527634,1.702849386,1.141325324,2.218838327,3.808534532,5.142512225,6.588997431,8.671306189
1560,1.685399257,1.605708955,1.048191935,2.082406483,3.635733241,4.954764559,6.396298478,8.487011114
1561,0.351746518,1.730751896,1.043440442,2.201654232,4.03687084,5.653310108,7.464018673,10.15359142
1562,4.268717951,1.664682514,1.125079532,2.172594398,3.708667618,4.992267171,6.380194608,8.37273838
1563,0.147835204,1.888686442,1.271303825,2.463103044,4.215882399,5.683503989,7.272547527,9.556783694
1564,0.054585767,1.740805844,1.20352259,2.280998356,3.834761861,5.118309784,6.495474716,8.457818831
1565,0.098832855,1.59729564,1.071561545,2.081835114,3.571180649,4.820234136,6.17408133,8.122235458
1566,0.422668244,1.314118225,0.848734789,1.69943568,2.987520878,4.087696556,5.294931495,7.052870467
1567,0.377988317,1.334680172,0.917095637,1.748027538,2.950827878,3.946741284,5.016800736,6.543469551
1568,1.795076096,1.205147166,0.8152228,1.573822073,2.684820515,3.612174871,4.614030373,6.050989696
1569,0.241155704,1.503134865,1.013536414,1.961526792,3.353407322,4.517315632,5.776305425,7.584305998
1570,0.178643174,1.567407007,1.014564494,2.028467492,3.560831398,4.867824181,6.30056245,8.384753956
1571,4.186872952,1.004524586,0.678260901,1.310685129,2.238810604,3.014842323,3.85429642,5.059938315
1572,0.398281792,1.704831115,1.116874138,2.212683495,3.854358435,5.245980792,6.765049604,8.965687069
1573,5.153972411,1.462267859,1.013831744,1.917374984,3.217110433,4.288853397,5.437284614,7.071594543
1574,0.224559838,2.046970457,1.392277054,2.67638542,4.548969397,6.107263588,7.787204638,10.19175008
1575,0.242586195,1.54813551,1.060066421,2.025232484,3.427051201,4.590790023,5.843554227,7.634370109
1576,1.438452076,1.492405654,1.017645925,1.951979205,3.312161893,4.442789086,5.660791063,7.402957526
1577,1.919870805,1.628465559,1.091683618,2.12263918,3.642803814,4.91773734,6.299580553,8.287860841
1578,0.53241983,1.772310401,1.196220842,2.311398545,3.94933637,5.319927628,6.803461846,8.935593796
1579,0.452957236,1.638998406,1.067509953,2.123636973,3.713290381,5.06547857,6.545119391,8.693899882
1580,0.267270515,1.515629411,0.973788354,1.958845965,3.454632847,4.734304998,6.139847546,8.188230644
1581,0.06030689,1.231542656,0.880057221,1.622176176,2.665103205,3.511376029,4.408421188,5.671652187
1582,1.551407709,1.245893025,0.840443986,1.626413973,2.77961535,3.743337724,4.785277881,6.28079573
1583,2.501671036,1.254191012,0.831893611,1.631844409,2.819938698,3.821152661,4.909749106,6.480782513
1584,1.777369834,1.60268066,1.105087904,2.099798291,3.536383526,4.724146728,5.999165092,7.816706926
1585,0.530227104,1.731233569,1.179889156,2.262556281,3.840807427,5.154416242,6.571042213,8.599650255
1586,0.367679446,1.592157191,1.10164189,2.087535123,3.507389241,4.678957319,5.934835922,7.722628215
1587,3.042005914,1.460023942,0.999547445,1.909444869,3.231613491,4.32972861,5.512283949,7.203413304
1588,0.843490216,1.757026777,1.190526115,2.295304619,3.911260138,5.258917962,6.713968888,8.79972267
1589,3.797024896,1.622561242,1.12246943,2.126054671,3.572804368,4.767756026,6.049757314,7.876390881
1590,2.291285379,2.064621404,1.419760663,2.704156885,4.562507569,6.100800122,7.753355434,10.11075241
1591,0.299135073,2.149727217,1.465362592,2.81160158,4.771867338,6.401535968,8.157305884,10.66888069
1592,1.542983407,1.863573146,1.263731923,2.433077604,4.144185075,5.572170656,7.114948145,9.328135205
1593,1.531174578,1.964598854,1.3501547,2.572506475,4.342251414,5.807976867,7.383197251,9.631193462
1594,0.774572699,1.981771572,1.314852287,2.578572863,4.45517239,6.036453076,7.755652991,10.23664587
1595,0.606960624,1.810053196,1.194665243,2.352952877,4.07907904,5.536985245,7.124506506,9.418848294
1596,0.497278345,1.716440447,1.160412168,2.24107847,3.824630898,5.146995556,6.576043182,8.626379594
1597,0.259286182,1.539656523,0.984719109,1.987303367,3.515019912,4.825320268,6.267063526,8.371923214
1598,0.658100037,1.423053499,0.962429151,1.859918741,3.17296888,4.267685283,5.449149006,7.141791762
1599,1.824851024,1.319350591,0.891947481,1.722161902,2.939161518,3.955833095,5.054891973,6.632359411
1600,1.807785028,1.526209451,1.022774026,1.989632957,3.415241464,4.610710007,5.906236135,7.769983656
1601,1.099642972,1.63639832,1.101347513,2.135187117,3.654670202,4.926008993,6.301652599,8.277711243
1602,0.136729513,1.700488433,1.140841102,2.217639249,3.803744809,5.132770276,6.572223909,8.641845896
1603,0.55686557,1.615275983,1.013686011,2.076237538,3.715633423,5.133495677,6.702267049,9.004757023
1604,0.77333878,1.382765789,0.901971809,1.793760688,3.133109978,4.270129667,5.51237975,7.313400841
1605,1.057592579,1.472277246,0.990483845,1.92142809,3.289563526,4.434028598,5.672123732,7.450138952
1606,0.432862529,1.377206224,0.961899656,1.808757967,3.019441662,4.013282723,5.074902546,6.580976707
1607,0.224781952,1.261745305,0.872835147,1.653799871,2.779142801,3.708191856,4.704524499,6.123500825
1608,1.1257918,1.235328283,0.82940626,1.61100583,2.761890471,3.726088952,4.770335532,6.271685268
1609,1.053876539,1.298632353,0.857653244,1.688342824,2.925733897,3.970543271,5.108019182,6.751631338
1610,0.535860058,1.288337641,0.876060307,1.684292622,2.863247306,3.844553352,4.902645393,6.417390986
1611,0.696655804,1.303319787,0.886919984,1.704055918,2.895388546,3.886667281,4.955281499,6.484780209
1612,1.010089449,1.222331469,0.874649525,1.610425248,2.643257517,3.480653504,4.367786808,5.616362568
1613,1.16683536,1.393783547,0.932715733,1.816721272,3.121273416,4.21579292,5.402296626,7.109688678
1614,0.938226027,1.460975212,0.999888422,1.912139248,3.236540455,4.33534819,5.517561858,7.206448667
1615,3.393714318,1.348845584,0.953634439,1.773193627,2.935392144,3.884571945,4.895220999,6.324744016
1616,1.082451904,1.773684134,1.183345921,2.309781098,3.976460916,5.377571173,6.898583538,9.090467052
1617,0.081596662,1.78907648,1.176655972,2.323501083,4.037333473,5.487780816,7.069416698,9.358471251
1618,2.504581779,1.506373503,1.034230357,1.972585134,3.331737151,4.457604979,5.667658514,7.394567246
1619,1.371476753,1.725692394,1.138620444,2.240501194,3.885546664,5.277602901,6.795821597,8.993852897
1620,2.160989136,1.90686797,1.337513717,2.503897653,4.167972217,5.532699603,6.989875757,9.056567785
1621,0.727018583,1.8982156,1.314297702,2.488938958,4.179912097,5.574834466,7.069908289,9.197908613
1622,0.084927667,1.738521924,1.203754012,2.276985301,3.824381477,5.103010244,6.475386168,8.431828688
1623,1.94145367,1.627292879,1.069841679,2.11274204,3.672137971,4.992568744,6.433018128,8.518651919
1624,0.174819531,1.867589962,1.236141532,2.429297789,4.203666781,5.700123571,7.327987782,9.678326825
1625,0.357120062,1.369890066,0.943586314,1.794401424,3.024209086,4.041625644,5.134242426,6.692416589
1626,0.80911856,1.465364285,0.997450201,1.916227936,3.255286759,4.369153906,5.569645735,7.287484653
1627,2.496438344,1.280903564,0.853242349,1.667079334,2.873042631,3.888043536,4.990860636,6.581511589
1628,0.363891787,1.566517537,1.095572359,2.05749598,3.431591431,4.559055833,5.763084134,7.470784536
1629,1.542642377,1.368819049,0.936781011,1.791033968,3.03172837,4.061518428,5.16986344,6.75383614
1630,6.274709354,1.615388717,1.068639331,2.100457967,3.636031802,4.931939261,6.342359907,8.379851359
1631,2.136711399,2.156569985,1.469860906,2.820401312,4.787183699,6.422443765,8.184378826,10.70498299
1632,2.908878214,1.93939243,1.302510398,2.527351672,4.332431967,5.846239655,7.487174749,9.848766004
1633,5.131201767,2.537581282,1.685057279,3.302625485,5.702924901,7.724378291,9.92127628,13.09037824
1634,4.631901461,2.702817095,1.749699825,3.499121107,6.141731463,8.394458124,10.8627979,14.45166641
1635,9.902947742,2.884238034,1.975473034,3.774882661,6.386298014,8.552517303,10.88297636,14.21204942
1636,0.515317401,3.727236872,2.528136569,4.866506591,8.287628804,11.14232593,14.22623775,18.64988166
1637,6.332806732,2.963015953,2.027299258,3.874544283,6.560085904,8.791331396,11.1947475,14.63263432
1638,3.165942108,3.838205453,2.623129119,5.017599203,8.501979133,11.39891713,14.52089778,18.98877595
1639,4.912757707,3.608670411,2.341134501,4.672249098,8.190106953,11.18759372,14.47130854,19.24511209
1640,0.904841168,3.424875278,2.344359847,4.479329278,7.581664916,10.15818861,12.93271555,16.90024536
1641,0.253680535,3.275367908,2.048541168,4.206515616,7.543696282,10.43449168,13.63640253,18.34075424
1642,0.088616342,2.765586917,1.797963814,3.583163725,6.272407896,8.560773567,11.06522903,14.70259499
1643,0.450397297,1.979966109,1.317324972,2.577947335,4.445938609,6.017561651,7.724452943,10.18511196
1644,1.526030623,1.712368695,1.148138212,2.23246223,3.830738703,5.170723829,6.622674098,8.711207035
1645,0.366152274,1.812142958,1.204177459,2.358892992,4.071429826,5.513102538,7.079468108,9.338387896
1646,1.009660755,1.571025556,1.046092238,2.044374251,3.524199894,4.770059195,6.123996857,8.077279395
1647,0.557401064,1.534042045,1.047967102,2.006739483,3.400942151,4.559070985,5.806192144,7.589364593
1648,3.304845725,1.409418274,0.955697191,1.841421309,3.136298861,4.2158155,5.381091855,7.051103283
1649,1.555245842,1.748297329,1.195048379,2.286826364,3.874150609,5.192670577,6.612553767,8.642880431
1650,0.918566358,1.905315838,1.261641153,2.477837556,4.286664063,5.812546196,7.472816588,9.870632807
1651,2.007711671,1.775136939,1.186010268,2.312944264,3.978040159,5.376276048,6.892934356,9.076716541
1652,3.068936802,1.937347595,1.316167191,2.530547136,4.304877985,5.783998273,7.380786761,9.669692787
1653,10.59359303,2.224671554,1.484057195,2.899008384,4.990794001,6.74758151,8.653132508,11.39661773
1654,3.512488744,3.074471365,2.150390021,4.037556023,6.733695537,8.946280477,11.30946484,14.66178414
1655,17.70106853,3.198678985,2.133629524,4.166811349,7.174084912,9.701084248,12.44328068,16.39324212
1656,3.330152118,4.003680409,2.690583353,5.222455368,8.947793951,12.06715509,15.44420839,20.29769035
1657,17.79680554,5.166512381,3.3746158,6.701565829,11.69600184,15.93554679,20.56761182,27.28389011
1658,7.786135934,5.417312201,3.672268651,7.077499515,12.05673738,16.20837085,20.69019015,27.11378612
1659,3.024275299,4.951069355,3.375365206,6.47150415,10.98329167,14.73745179,18.78514276,24.58012057
