window,miu,be,sig,a,LogL
131,0.400533461,0.899922903,0.300462806,1.300350199,-10104.35332
132,0.399936587,0.90046787,0.300503,1.299931651,-10115.54751
133,0.38932622,0.899991895,0.316708431,1.299994425,-10103.92123
134,0.617607549,0.886263631,0.308787115,1.300632077,-10122.64465
135,0.384054788,0.900240479,0.337635074,1.30001149,-10122.78884
136,0.412305015,0.899995647,0.324814774,1.299997006,-10102.10875
137,0.384056304,0.899018492,0.334622771,1.301454247,-10121.87199
138,0.401079263,0.899972929,0.306761586,1.299970007,-10105.35759
139,0.599061177,0.896016392,0.240380288,1.273958924,-10115.07387
140,0.40164662,0.900026241,0.301690729,1.300999205,-10109.68582
141,0.572919631,0.894324947,0.224637297,1.001730333,-10134.45802
142,0.313455487,0.889485665,0.348263482,1.302071265,-10105.2493
143,0.386617609,0.896859495,0.290150605,1.300445604,-10099.18257
144,0.533936278,0.900025364,0.300067906,1.300034799,-10116.27831
145,0.520632217,0.899821312,0.299851711,1.30035734,-10113.65956
146,0.403657666,0.899988279,0.304841874,1.299990445,-10113.28972
147,0.680703618,0.897731583,0.250205865,1.284198595,-10137.46331
148,0.452422345,0.863173013,0.294034446,1.252962412,-10064.74048
149,0.092037421,0.887024839,0.477464668,1.25835948,-10207.75371
150,0.576008073,0.958519926,0.212189698,1.100675446,-10103.02677
151,0.302001286,0.900026921,0.300004288,1.29999269,-10103.81005
152,0.379085429,0.90000062,0.299997933,1.299991041,-10119.10342
153,0.349752337,0.900023552,0.655878603,1.701496108,-10598.19765
154,0.556791589,0.860450592,0.317696223,1.246668704,-10071.15868
155,0.538014953,0.885810277,0.325384875,1.280317952,-10076.41457
156,0.404136194,0.899928962,0.301477166,1.308655168,-10113.49734
157,0.538761163,0.888733316,0.268214645,1.146181505,-10054.47897
158,0.401686745,0.899995715,0.304191449,1.299997053,-10102.74471
159,0.367228691,0.899993975,0.299999044,1.305566666,-10105.0668
160,0.377954775,0.90000491,0.35386371,1.302535832,-10125.19656
161,0.401447616,0.900022514,0.3019263,1.300138959,-10105.77678
162,0.389045252,0.895244908,0.294903472,1.294204884,-10096.0612
163,0.407030629,0.928413985,0.333285022,1.112167463,-10144.24047
164,0.588368054,0.900009541,0.471678005,1.264685413,-10223.85381
165,0.414314196,0.891447495,0.337355046,1.186020464,-10076.41079
166,0.183435211,0.899902471,0.299984519,1.299932917,-10120.8969
167,0.393897699,0.897585844,0.310306623,1.319072915,-10117.16851
168,0.44775762,0.957413217,0.189463197,1.111301633,-10080.55329
169,0.615573472,0.926635931,0.301510249,1.083045601,-10132.66086
170,0.330105897,0.893157796,0.294960617,1.288022707,-10118.09938
171,0.529299878,0.899786868,0.299841984,1.300341217,-10119.45705
172,0.397274072,0.899994889,0.300594382,1.300016351,-10106.1111
173,0.400663015,0.892653145,0.299927893,1.299857192,-10104.00559
174,0.518841745,0.936499894,0.177254735,1.065228495,-10080.70227
175,0.470967462,0.900651166,0.249632423,1.339833373,-10142.60393
176,0.717504007,0.910285718,0.239150763,1.006993732,-10160.94817
177,0.49697572,0.851984703,0.217300114,1.155790516,-10085.74644
178,0.274044995,0.899707297,0.249961283,1.295642331,-10121.90405
179,0.582529974,0.880320741,0.222881106,0.943107295,-10222.28127
180,0.412402706,0.889925177,0.249211453,1.166143222,-10048.14656
181,0.244352831,0.899899586,0.299984061,1.299930932,-10110.27446
182,0.484499445,0.887303486,0.282476101,1.296597533,-10088.3091
183,0.64655575,0.876662586,0.262786435,1.201114801,-10084.02493
184,0.446485419,0.900090552,0.307588185,1.300133591,-10102.76108
185,0.507324935,0.900001911,0.29999363,1.299972397,-10102.09626
186,0.397704821,0.899998949,0.304711242,1.299999277,-10121.37663
187,0.347376808,0.899494774,0.304284384,1.299265129,-10112.60555
188,0.381981376,0.899991109,0.299998589,1.299993885,-10104.25215
189,0.52817719,0.946539531,0.187221046,1.190973636,-10083.19152
190,0.63802212,0.899686952,0.33215635,1.340924307,-10145.17838
191,0.400706041,0.899997375,0.300003038,1.300066095,-10103.4663
192,0.640662248,0.903639187,0.249927669,1.308633024,-10125.07529
193,0.476299294,0.899971442,0.313232728,1.299980357,-10107.86583
194,0.503033945,0.89522759,0.299279545,1.301496018,-10098.67366
195,0.428308004,0.894542175,0.3243958,1.290422264,-10097.95465
196,0.385807238,0.890507641,0.298824084,1.29271973,-10080.88515
197,0.414461182,0.899992839,0.322819813,1.307036786,-10104.01646
198,0.431796832,0.899862659,0.2999782,1.299905533,-10102.32484
199,0.617850647,0.891586455,0.289680382,1.28992471,-10100.92843
200,0.199478401,0.899595632,0.249946512,1.202696921,-10065.09354
201,0.616658073,0.900558504,0.214478484,1.171200015,-10075.70627
202,0.400417858,0.900006376,0.300151132,1.300725799,-10084.07924
203,0.358542756,0.877678265,0.235298062,1.135974867,-10041.29448
204,0.399527322,0.900027593,0.302756001,1.299695491,-10093.5602
205,0.521373466,0.899898468,0.256041593,0.974475999,-10179.15566
206,0.382428062,0.899996582,0.305864431,1.308193965,-10118.85436
207,0.520042809,0.899929409,0.321675913,1.299999085,-10106.08025
208,0.360156326,0.889660915,0.298729196,1.290158915,-10093.60645
209,0.342852063,0.902164013,0.26304253,1.266909367,-10073.57511
210,0.400219465,0.899914574,0.300228861,1.300207465,-10094.13353
211,0.592639545,0.899915812,0.249988864,1.050301612,-10103.7381
212,0.302238223,0.90048675,0.290189732,1.296574345,-10090.62061
213,0.396316854,0.900566544,0.306679453,1.301652623,-10098.82833
214,0.392949562,0.899997458,0.307180616,1.301215215,-10100.93087
215,0.44345769,0.899968336,0.299994974,1.29997822,-10099.0335
216,0.462491775,0.899974055,0.299978095,1.299937768,-10109.70456
217,0.379523566,0.915085399,0.309518002,1.192995161,-10091.74017
218,0.383298263,0.900000567,0.301473463,1.299991817,-10106.48361
219,0.397225575,0.899999095,0.301668678,1.299999378,-10086.01402
220,0.330622417,0.895289552,0.300588584,1.298939234,-10092.69304
221,0.304690897,0.899980056,0.325190467,1.299986282,-10105.77796
222,0.468627296,0.899968648,0.299995023,1.299978435,-10105.9883
223,0.446929159,0.874934704,0.359371844,1.259660962,-10081.24698
224,0.347500626,0.96022607,0.274362589,1.105779917,-10146.42456
225,0.385704019,0.869000444,0.31423649,1.156143218,-10052.73812
226,0.506029729,0.94016061,0.19782606,1.133593024,-10066.55158
227,0.378274842,0.900032465,0.299965841,1.310126726,-10122.90858
228,0.325020925,0.8623697,0.245362728,1.082888141,-10080.55044
229,0.400106714,0.896859513,0.306654943,1.300662414,-10099.03088
230,0.439814509,0.973579236,0.174844058,1.090679025,-10106.39122
231,0.402409184,0.899753083,0.303842208,1.299420492,-10100.70131
232,0.626262279,0.898160878,0.260643686,1.194543572,-10070.16222
233,0.398294808,0.899993247,0.310587369,1.318560311,-10108.00324
234,0.307274626,0.900001385,0.323180583,1.299980001,-10127.93229
235,0.455927898,0.899986955,0.31847962,1.299991028,-10118.34783
236,0.512840044,0.900015717,0.249956342,1.333655049,-10140.07879
237,0.364840797,0.853542978,0.247526247,1.12586757,-10056.28633
238,0.397011957,0.900994747,0.303503439,1.305135018,-10115.95804
239,0.424951302,0.900358855,0.305256938,1.300438635,-10103.01239
240,0.47806766,0.851312498,0.236114717,0.899739151,-10307.61543
241,0.404505521,0.899917971,0.302193214,1.300121641,-10099.04332
242,0.401422381,0.897808707,0.299721358,1.297067747,-10102.25644
243,0.320484629,0.901888709,0.249195488,1.135869337,-10051.96091
244,0.454851908,0.908453934,0.29253992,1.286664476,-10106.07339
245,0.497776169,0.899993676,0.250952418,0.799997323,-10584.19931
246,0.496670021,0.896763696,0.254617139,1.010601357,-10126.77981
247,0.388136531,0.900222181,0.298701305,1.29543214,-10103.91219
248,0.399175822,0.90054437,0.314931613,1.300893144,-10105.90311
249,0.510016419,0.900039609,0.24946986,0.972883634,-10174.38183
250,0.380861681,0.899961432,0.299993878,1.299973471,-10110.58924
251,0.298855493,0.900224245,0.300464731,1.300253574,-10107.15761
252,0.370120671,0.896951451,0.312562113,1.32962497,-10118.31777
253,0.393189778,0.897261975,0.252280891,1.239095906,-10063.38337
254,0.401516842,0.899998968,0.302017857,1.304461079,-10104.54604
255,0.64078806,0.892647051,0.253906781,1.132156103,-10076.49678
256,0.384325062,0.900589589,0.314419559,1.300975264,-10103.97488
257,0.505261308,0.887921742,0.242515245,1.154541165,-10049.58806
258,0.308287685,0.885622041,0.298561125,1.277541866,-10086.88881
259,0.5510244,0.879146766,0.238979574,1.100225916,-10071.47318
260,0.397963643,0.900590647,0.286632568,1.326006213,-10106.64577
261,0.400169561,0.900001555,0.300082948,1.300001899,-10108.88156
262,0.502386289,0.899978652,0.308650059,1.319615151,-10130.10184
263,0.360000588,0.900001665,0.30002764,1.300035868,-10106.919
264,0.717591016,0.900015229,0.249935509,1.354982797,-10209.41003
265,0.404713497,0.900092767,0.299981172,1.300003725,-10105.80837
266,0.389503555,0.899997049,0.308104815,1.29999797,-10094.01758
267,0.392630755,0.899996835,0.303415181,1.306971237,-10127.1174
268,0.410718493,0.899996329,0.299999417,1.310352737,-10119.48838
269,1.379165173,0.955790944,0.231437986,1.268114763,-10272.61067
270,0.548256243,0.901788649,0.250235549,1.361719113,-10188.65485
271,0.468818307,0.879446769,0.306192231,1.3052871,-10110.42836
272,0.410863576,0.817886442,0.265824445,1.228177782,-10095.24389
273,0.436410344,0.897581265,0.296790928,1.303366765,-10117.49805
274,0.726837607,0.903101785,0.254400263,1.283943802,-10141.36122
275,0.478580565,0.866735747,0.240012863,1.05104588,-10099.04532
276,0.729725933,0.899401688,0.249450799,1.294708139,-10152.26998
277,0.311252727,0.900000595,0.309896178,1.299991408,-10111.9532
278,0.350389842,0.899788815,0.299874208,1.299934433,-10107.06982
279,0.39550883,0.899990306,0.299998461,1.299993332,-10110.60168
280,0.413609393,0.899996356,0.302815213,1.299997494,-10122.66771
281,0.400089852,0.89992979,0.299890146,1.299913706,-10108.07086
282,0.522993997,0.867009704,0.293884983,1.179115742,-10064.48972
283,0.405220637,0.900002053,0.304224567,1.301113646,-10106.80358
284,0.401047683,0.899999086,0.303677226,1.304181106,-10108.82509
285,0.387683594,0.899944162,0.300176236,1.306728176,-10117.7312
286,0.388455843,0.899673774,0.255331247,1.328802921,-10141.35432
287,0.407989271,0.900129937,0.306923678,1.313039635,-10120.49252
288,0.324694811,0.900375654,0.350649677,1.300365258,-10132.72295
289,0.238094513,0.899538152,0.249938351,1.259403011,-10128.50277
290,0.419928549,0.902621638,0.291817509,1.265757626,-10104.33278
291,0.523373492,0.899934021,0.249991273,0.922775897,-10267.42454
292,0.389577524,0.900000616,0.313935087,1.299991103,-10123.61821
293,0.533946733,0.821162037,0.325727599,1.040354795,-10141.99955
294,0.394226446,0.900396011,0.302386265,1.307330867,-10138.18282
295,0.399636215,0.899871845,0.300537923,1.299972123,-10113.69838
296,0.476342798,0.944444536,0.291065967,1.160618172,-10138.27398
297,0.647610572,0.87213208,0.273588975,1.149579491,-10091.56586
298,0.475914431,0.893870669,0.296017829,1.298233003,-10117.23043
299,0.543984824,0.888455762,0.257577449,1.165533008,-10068.98886
300,0.440007928,0.887541645,0.295938529,1.309643528,-10115.94726
301,0.541889698,0.893983443,0.262385754,1.062586381,-10096.80783
302,0.358692496,0.936780544,0.167038882,1.039357564,-10100.99326
303,0.440827643,0.899331073,0.303064243,1.299224813,-10110.98542
304,0.380228854,0.897536977,0.391104424,1.097971626,-10191.10224
305,0.406817787,0.899979189,0.29997503,1.304633434,-10123.09871
306,0.467285942,0.901449404,0.300358152,1.304110406,-10131.61366
307,0.533070991,0.89842215,0.30229404,1.300845884,-10111.52895
308,0.552841162,0.895077689,0.308817642,1.297602962,-10121.5615
309,0.394200544,0.899989885,0.31463613,1.299993043,-10121.40001
310,0.642080037,0.891298982,0.274562756,1.188389022,-10084.58447
311,0.451754358,0.903525708,0.233485118,1.071741683,-10084.42695
312,0.399202844,0.90006859,0.327684845,1.30012501,-10114.94588
313,0.44578861,0.900001553,0.299994823,1.303055807,-10131.46471
314,0.389756314,0.89999697,0.300001799,1.299997328,-10128.21371
315,0.406899579,0.900386893,0.315250642,1.300400424,-10110.27232
316,0.438876718,0.858961264,0.213290925,0.951957542,-10217.33048
317,0.687973551,0.900010097,0.249971954,1.289031363,-10143.52231
318,0.568676425,0.874489525,0.233215816,1.038158069,-10121.71784
319,0.610952733,0.84002492,0.230411327,1.094816572,-10133.79183
320,0.640132346,0.895753399,0.29982863,1.126803683,-10105.52861
321,0.44058646,0.910765354,0.230947535,0.943997397,-10224.64495
322,0.558829874,0.899272211,0.252367063,1.309785606,-10138.74919
323,0.151459118,0.917625208,0.43385002,1.342228479,-10252.15884
324,0.506157032,0.863906842,0.214315486,1.027864751,-10133.58044
325,0.56090153,0.923469742,0.253131151,1.026904155,-10139.85309
326,0.5488157,0.900003963,0.249988993,1.028293717,-10124.18689
327,0.539440064,0.905635012,0.255119161,1.011301524,-10148.75959
328,0.27194215,0.835936842,0.266570599,1.072420702,-10119.2706
329,0.505317738,0.899836314,0.250289933,1.341738402,-10178.02644
330,0.642071424,0.946783863,0.167044626,1.091484286,-10104.04839
331,0.563823116,0.834984661,0.224097419,1.05276307,-10146.4049
332,-0.065406619,0.898053947,0.445055736,1.611401057,-10489.85505
333,0.464334678,0.822047015,0.22208836,1.019401175,-10165.63328
334,0.589428732,0.837098161,0.271373189,1.136142248,-10101.4665
335,0.564950782,0.912137759,0.24914136,1.243301208,-10107.89247
336,0.76150707,0.899531415,0.246095307,1.107165244,-10131.11452
337,0.329232557,0.954025412,0.105556904,1.093903655,-10157.66442
338,0.534287275,0.904277761,0.291400607,1.105321529,-10100.52504
339,0.57218445,0.943494764,0.158583359,1.238246092,-10167.4389
340,0.318972278,0.812410904,0.349966447,1.144765046,-10081.22073
341,0.47557664,0.911502348,0.284179201,0.977795727,-10217.05154
342,0.604403209,0.856170062,0.283422028,1.141184406,-10092.63744
343,0.221545817,0.899690828,0.249959104,1.276577355,-10126.38991
344,0.34182686,0.899180752,0.252283143,1.152956361,-10066.68765
345,0.693576188,0.71083558,0.60000868,1.430692013,-10243.70853
346,0.326111342,0.899065586,0.6853273,1.688012812,-10600.29379
347,0.476132923,0.899719826,0.249856887,0.875852074,-10376.76118
348,0.558246434,0.899330254,0.249911409,1.11562454,-10073.79286
349,0.592312971,0.824409184,0.317321155,1.162686286,-10097.94798
350,0.57675786,0.897839383,0.250129053,1.156984644,-10075.1854
