forc.use,Wei,GG,Burr,GB2,EGIG,TSCD,r
0.325970702,1.768944546,1.809068421,1.67938488,1.804027552,1.691372965,1.601338076,1.043871073
0.713406783,1.781126647,1.493890259,1.475261284,1.790968229,1.599063377,1.508639962,1.043871073
0.430725955,1.593017631,1.432295195,1.377696692,1.62220311,1.470614193,1.389537288,1.043871073
0.49658493,1.742794188,1.293788872,1.308688701,1.727559395,1.636084473,1.27200696,1.042502277
2.96110643,1.509075728,1.585998263,1.541863723,1.556717928,1.473554106,1.192373641,1.042502277
1.238427219,1.893547842,1.49113376,1.438861041,1.813351504,1.638409386,1.736843773,1.044266603
0.86264751,1.782551492,1.749131918,1.737425232,1.822296917,1.607627492,1.574489556,1.044266603
1.614317605,1.652063153,1.634241234,1.614906077,1.52372015,1.563031818,1.530652802,1.044266603
1.516686795,1.714634847,1.62035521,1.534377047,1.796426863,1.62785833,1.580556275,1.044639554
1.125922112,1.753039309,1.705133506,1.814602704,1.918524928,1.701527849,1.592095104,1.044639554
0.43607593,1.739945104,1.568848522,1.527660295,1.700352214,1.623921115,1.608943707,1.045279658
0.901321741,1.618924191,1.59796526,1.593291104,1.620024384,1.544800356,1.357051002,1.045279658
1.325348886,1.553358909,1.541386505,1.562546952,1.496824925,1.591526028,1.329997309,1.045279658
2.029856205,1.630277397,1.491707997,1.500374565,1.717858725,1.586858188,1.359634952,1.046476888
0.844462981,1.617545605,1.366239722,1.37200142,1.649805149,1.734970481,1.53565014,1.046476888
2.581517902,1.435682749,1.392970924,1.371180564,1.477046419,1.684960802,1.443705979,1.046476888
0.427283358,1.629675783,1.61674132,1.710385546,1.59476709,1.705248505,1.749466022,1.045279658
0.883006385,1.739708164,1.651610747,1.704023617,1.768710117,1.644023714,1.72736444,1.045279658
2.378660599,1.673397385,1.38770381,1.427193671,1.662475535,1.639887567,1.415759437,1.045279658
0.450886702,1.639780432,1.672917702,1.625588283,1.638161108,1.609372871,1.76481772,1.045279658
2.773342021,1.678468251,1.456010963,1.426084127,1.651481469,1.60249323,1.588820475,1.045279658
0.825060297,1.706803818,1.77587837,1.710525074,1.838017688,1.600244491,1.815425252,1.045279658
0.464111066,1.762272398,1.529312667,1.498948663,1.859790911,1.628314352,1.621350355,1.044639554
0.94905955,1.632388457,1.364136774,1.397179368,1.706958155,1.581252666,1.513765054,1.044639554
5.436833254,1.906165182,1.474806615,1.565458693,1.800535779,1.537786236,1.434150117,1.044266603
1.124127321,2.172106788,1.820077152,1.904431857,2.120571197,1.793315582,2.373256118,1.043871073
0.786280099,2.06344891,1.89710259,1.843352779,2.054967972,1.656188241,1.99907584,1.043871073
2.948210658,2.250461706,1.64823287,1.594575911,2.244547134,1.597817309,1.822005397,1.044639554
0.987177412,1.742263167,1.726790178,1.696137933,1.840060868,1.661254943,1.997256071,1.043871073
2.251840696,1.644475994,1.771699802,1.70781521,1.693752496,1.716626646,1.746746121,1.043871073
3.098387837,1.7595832,1.585604227,1.690289732,1.790253634,1.781198934,1.852622039,1.044266603
1.262516931,1.791790274,1.990793089,1.902477662,1.70365438,1.647487005,2.057706777,1.044266603
0.24272054,1.8409001,1.820603681,1.824954896,1.983485008,1.822186575,1.738021219,1.044266603
0.301026483,1.84204045,1.591453147,1.582680235,1.908489656,1.710040182,1.724010781,1.044266603
1.173827646,1.804837592,1.760854127,1.757941774,1.861372376,1.709043869,1.554857905,1.042502277
0.896276536,1.930030015,1.510790163,1.577447274,1.852284643,1.632905577,1.452480928,1.043871073
0.638009477,1.749548722,1.462958892,1.510177019,1.774994881,1.596957182,1.428061945,1.042293893
0.363921991,1.635394805,1.37417818,1.343840754,1.587161856,1.537283015,1.233601002,1.042293893
0.405768472,1.690987652,1.251417704,1.263114038,1.682016365,1.531669791,1.157009382,1.042293893
0.444762633,1.668754109,1.043195223,1.053433359,1.748093294,1.553287967,1.023344308,1.044266603
0.908594594,1.270074836,1.037938773,1.107649281,1.334081693,1.399015149,0.980168339,1.044266603
0.926335286,1.567326988,1.116280112,1.085367564,1.566666362,1.5113465,1.042838219,1.043871073
1.792725142,1.435609433,1.375200689,1.374510371,1.382310666,1.583480701,1.071987796,1.042502277
0.48202165,1.641606406,1.40464862,1.40857053,1.633544411,1.690802095,1.333460766,1.042502277
0.513916835,1.495696197,1.268728155,1.274707464,1.64456444,1.601768151,1.285975278,1.043871073
2.457999907,1.564753228,1.331882444,1.277336043,1.437570666,1.484921984,1.236887419,1.043871073
1.454651412,1.846594107,1.410606959,1.438190359,1.669543749,1.52718636,1.559877387,1.044266603
1,1.640654214,1.570647852,1.567297998,1.485952711,1.573245748,1.579327629,1.044057983
